order_id,product_id,customer_id,order_history,delivery_preference,locations,returns/refunds
ORD004392,PROD6641,CUST21950,4,Express,Rural,No
ORD005870,PROD1194,CUST86967,21,Standard,Urban,No
ORD002238,PROD8846,CUST58907,43,Standard,Suburban,No
ORD005864,PROD7390,CUST82118,26,Express,Suburban,No
ORD000982,PROD7248,CUST21370,47,Same-Day,Urban,No
ORD004534,PROD5501,CUST97815,10,Standard,Rural,No
ORD001389,PROD6543,CUST69219,44,Express,Rural,No
ORD001346,PROD5500,CUST26539,37,Express,Suburban,No
ORD014238,PROD9064,CUST44284,23,Express,Rural,No
ORD000611,PROD7882,CUST67959,45,Express,Urban,No
ORD007055,PROD8837,CUST58890,40,Express,Rural,No
ORD002798,PROD1152,CUST75477,41,Standard,Rural,No
ORD005301,PROD9456,CUST53144,32,Standard,Suburban,No
ORD002323,PROD2578,CUST76982,1,Same-Day,Suburban,No
ORD013626,PROD2136,CUST47765,23,Same-Day,Suburban,No
ORD004689,PROD8260,CUST19810,21,Standard,Suburban,No
ORD005447,PROD1025,CUST32423,9,Express,Urban,No
ORD005929,PROD7995,CUST26261,40,Express,Suburban,Yes
ORD008794,PROD7583,CUST41215,39,Express,Urban,No
ORD014466,PROD9265,CUST54979,4,Standard,Urban,No
ORD008516,PROD2103,CUST61986,43,Standard,Urban,No
ORD006178,PROD3374,CUST75146,29,Standard,Rural,No
ORD003766,PROD3611,CUST18754,18,Same-Day,Suburban,No
ORD007728,PROD4152,CUST96085,26,Express,Urban,No
ORD005365,PROD4323,CUST42212,6,Express,Urban,No
ORD012386,PROD1388,CUST42617,7,Same-Day,Urban,No
ORD013658,PROD1324,CUST23955,20,Express,Rural,No
ORD013188,PROD3631,CUST38448,5,Standard,Rural,No
ORD007613,PROD5902,CUST75125,47,Express,Rural,No
ORD009538,PROD9125,CUST55734,48,Express,Urban,No
ORD014177,PROD6351,CUST66567,25,Standard,Rural,No
ORD005499,PROD3446,CUST32598,37,Express,Urban,Yes
ORD006266,PROD5859,CUST71297,24,Standard,Rural,No
ORD004352,PROD7971,CUST57084,44,Standard,Suburban,No
ORD002118,PROD3948,CUST90855,23,Standard,Rural,No
ORD014145,PROD7039,CUST59345,39,Same-Day,Suburban,No
ORD005820,PROD5552,CUST40309,9,Standard,Rural,No
ORD006850,PROD5907,CUST54325,48,Standard,Urban,No
ORD000295,PROD7054,CUST56165,36,Standard,Suburban,No
ORD012474,PROD7223,CUST37619,32,Express,Urban,No
ORD006623,PROD5942,CUST20396,9,Express,Suburban,No
ORD004101,PROD3561,CUST49443,1,Standard,Urban,No
ORD010896,PROD9205,CUST60550,12,Same-Day,Suburban,No
ORD009849,PROD6554,CUST56323,11,Standard,Urban,No
ORD013526,PROD3900,CUST70416,1,Express,Suburban,No
ORD014670,PROD8826,CUST40530,49,Express,Suburban,No
ORD007776,PROD3973,CUST57356,40,Standard,Suburban,No
ORD007927,PROD5494,CUST88597,36,Standard,Urban,No
ORD013218,PROD3761,CUST35262,41,Same-Day,Suburban,No
ORD014857,PROD2759,CUST10574,33,Standard,Urban,No
ORD005476,PROD6415,CUST15514,18,Express,Urban,No
ORD008691,PROD3644,CUST23241,37,Standard,Rural,No
ORD014903,PROD4782,CUST52212,10,Express,Urban,No
ORD003513,PROD8646,CUST64785,5,Standard,Suburban,No
ORD011860,PROD2064,CUST86687,19,Same-Day,Suburban,Yes
ORD002706,PROD9720,CUST63271,1,Same-Day,Rural,No
ORD011344,PROD4451,CUST87159,11,Same-Day,Urban,No
ORD008889,PROD6237,CUST80952,10,Same-Day,Rural,No
ORD010099,PROD9502,CUST13343,46,Express,Suburban,No
ORD004831,PROD3001,CUST30373,11,Standard,Urban,No
ORD010110,PROD3111,CUST73896,43,Express,Suburban,No
ORD002172,PROD9255,CUST17178,45,Express,Suburban,No
ORD008223,PROD5351,CUST17124,41,Same-Day,Suburban,No
ORD000154,PROD3705,CUST60966,41,Same-Day,Rural,No
ORD005572,PROD2927,CUST81082,22,Express,Suburban,No
ORD007046,PROD2347,CUST70617,33,Same-Day,Rural,No
ORD007386,PROD8295,CUST29140,2,Standard,Rural,No
ORD002237,PROD2922,CUST60433,18,Express,Urban,No
ORD002623,PROD2931,CUST68382,38,Same-Day,Urban,No
ORD011160,PROD1630,CUST57051,4,Standard,Urban,No
ORD001483,PROD8391,CUST65484,3,Standard,Urban,Yes
ORD005092,PROD4970,CUST20012,31,Express,Suburban,No
ORD005896,PROD1173,CUST88422,18,Express,Rural,No
ORD012515,PROD1659,CUST91362,15,Same-Day,Rural,No
ORD008643,PROD8878,CUST27475,1,Standard,Rural,No
ORD013830,PROD6983,CUST60680,26,Express,Suburban,No
ORD002162,PROD1797,CUST90084,22,Standard,Urban,No
ORD011885,PROD2483,CUST49099,39,Express,Suburban,No
ORD004931,PROD4139,CUST50755,26,Same-Day,Rural,No
ORD002616,PROD6766,CUST38001,23,Standard,Rural,No
ORD004639,PROD3373,CUST35649,36,Same-Day,Suburban,No
ORD006501,PROD1439,CUST93590,29,Same-Day,Urban,No
ORD005705,PROD2462,CUST89411,29,Same-Day,Rural,No
ORD014920,PROD2465,CUST14619,11,Same-Day,Urban,No
ORD011672,PROD7543,CUST58702,29,Standard,Urban,No
ORD005685,PROD9098,CUST20470,46,Express,Rural,No
ORD005902,PROD9605,CUST61490,14,Standard,Suburban,No
ORD012564,PROD5909,CUST33934,31,Same-Day,Urban,No
ORD013911,PROD2500,CUST27943,33,Same-Day,Rural,No
ORD006502,PROD1040,CUST39452,40,Standard,Urban,No
ORD014754,PROD6922,CUST50981,27,Express,Suburban,No
ORD010974,PROD1431,CUST36326,21,Standard,Suburban,No
ORD008954,PROD8239,CUST27728,33,Standard,Suburban,No
ORD007797,PROD2885,CUST98756,24,Same-Day,Urban,No
ORD011021,PROD3005,CUST25024,3,Express,Suburban,No
ORD004749,PROD7385,CUST13186,40,Express,Suburban,No
ORD000837,PROD5375,CUST15477,28,Same-Day,Rural,No
ORD013481,PROD1903,CUST48225,12,Express,Urban,No
ORD006174,PROD8716,CUST18621,48,Express,Suburban,No
ORD002561,PROD9537,CUST51947,37,Express,Urban,No
ORD008799,PROD5578,CUST27145,39,Standard,Urban,No
ORD008179,PROD9106,CUST66762,47,Same-Day,Suburban,No
ORD012843,PROD7881,CUST13437,33,Same-Day,Urban,No
ORD007238,PROD3118,CUST95717,26,Same-Day,Suburban,No
ORD008992,PROD5509,CUST70029,2,Standard,Rural,No
ORD011989,PROD9306,CUST25422,14,Express,Rural,No
ORD002636,PROD4043,CUST84243,29,Same-Day,Rural,No
ORD013155,PROD4909,CUST75820,45,Same-Day,Rural,No
ORD009297,PROD6426,CUST70338,48,Express,Rural,No
ORD007220,PROD5657,CUST87385,23,Standard,Rural,No
ORD014606,PROD7918,CUST52379,13,Same-Day,Rural,No
ORD009012,PROD3051,CUST10976,41,Same-Day,Suburban,No
ORD004515,PROD4965,CUST49274,8,Same-Day,Suburban,No
ORD002268,PROD5836,CUST29611,22,Standard,Rural,Yes
ORD008696,PROD7515,CUST61342,25,Express,Rural,No
ORD000911,PROD1251,CUST90008,32,Same-Day,Urban,No
ORD001769,PROD8202,CUST95905,33,Standard,Rural,No
ORD012698,PROD2114,CUST37114,12,Express,Suburban,No
ORD007304,PROD5073,CUST58634,35,Express,Suburban,No
ORD007534,PROD1487,CUST73697,7,Standard,Urban,No
ORD013596,PROD3338,CUST40408,35,Same-Day,Suburban,No
ORD010198,PROD2992,CUST48363,31,Same-Day,Rural,No
ORD000141,PROD6947,CUST88799,3,Standard,Suburban,No
ORD002635,PROD7931,CUST52899,23,Standard,Suburban,No
ORD006278,PROD7274,CUST36164,10,Standard,Rural,No
ORD009674,PROD5028,CUST32287,34,Same-Day,Suburban,Yes
ORD010647,PROD4585,CUST13507,2,Express,Urban,No
ORD014815,PROD3087,CUST94131,30,Express,Urban,No
ORD002489,PROD6339,CUST92219,24,Same-Day,Rural,No
ORD009731,PROD7823,CUST43794,20,Standard,Urban,No
ORD005036,PROD2562,CUST43932,5,Express,Urban,No
ORD011603,PROD8409,CUST79658,48,Same-Day,Urban,No
ORD011440,PROD3918,CUST80523,2,Express,Rural,No
ORD005916,PROD2965,CUST64957,38,Standard,Suburban,No
ORD003308,PROD9043,CUST45280,20,Express,Suburban,No
ORD002871,PROD1273,CUST49596,40,Same-Day,Urban,No
ORD008375,PROD6681,CUST66301,13,Express,Rural,Yes
ORD005644,PROD3087,CUST83302,9,Standard,Suburban,Yes
ORD003153,PROD6224,CUST17248,46,Same-Day,Urban,No
ORD009865,PROD2428,CUST39587,31,Express,Urban,No
ORD003261,PROD7783,CUST90581,1,Standard,Urban,No
ORD010953,PROD1579,CUST12612,1,Express,Rural,No
ORD014533,PROD4954,CUST94291,25,Same-Day,Suburban,No
ORD002117,PROD7698,CUST19716,38,Standard,Suburban,No
ORD010223,PROD8652,CUST34802,13,Same-Day,Urban,No
ORD002650,PROD8939,CUST46873,19,Express,Rural,No
ORD010222,PROD5822,CUST64962,8,Express,Urban,No
ORD001654,PROD3255,CUST97072,28,Same-Day,Suburban,No
ORD000686,PROD5530,CUST98312,18,Express,Rural,No
ORD007919,PROD3875,CUST16676,38,Standard,Urban,No
ORD003363,PROD5896,CUST56150,37,Same-Day,Urban,No
ORD011676,PROD8134,CUST43887,26,Standard,Urban,No
ORD002164,PROD1724,CUST80701,17,Standard,Suburban,No
ORD010851,PROD2054,CUST40983,35,Express,Rural,No
ORD006824,PROD3781,CUST54582,35,Same-Day,Suburban,No
ORD007698,PROD8883,CUST37726,30,Standard,Rural,Yes
ORD005594,PROD8268,CUST93371,16,Express,Rural,No
ORD001072,PROD5583,CUST92756,35,Same-Day,Urban,No
ORD003203,PROD3420,CUST21337,31,Standard,Rural,No
ORD000692,PROD4727,CUST95103,7,Express,Urban,No
ORD008593,PROD3057,CUST24040,40,Same-Day,Suburban,No
ORD002386,PROD8161,CUST85256,16,Express,Rural,No
ORD009946,PROD3384,CUST57015,43,Same-Day,Suburban,No
ORD001843,PROD2946,CUST86682,49,Express,Suburban,No
ORD000331,PROD1158,CUST77316,45,Express,Urban,No
ORD012621,PROD7075,CUST22895,36,Express,Urban,No
ORD003497,PROD1328,CUST86189,12,Standard,Rural,No
ORD001943,PROD6654,CUST95611,38,Express,Urban,No
ORD001064,PROD7078,CUST74229,30,Express,Suburban,No
ORD001564,PROD1726,CUST82768,29,Standard,Urban,No
ORD011077,PROD1727,CUST26600,45,Same-Day,Suburban,No
ORD004816,PROD8257,CUST46956,44,Same-Day,Urban,No
ORD013582,PROD8683,CUST70731,11,Standard,Suburban,No
ORD014552,PROD7359,CUST32133,43,Same-Day,Rural,No
ORD005540,PROD6363,CUST84554,6,Same-Day,Suburban,Yes
ORD000408,PROD6967,CUST76968,29,Same-Day,Rural,No
ORD009427,PROD6618,CUST70543,21,Standard,Suburban,No
ORD004396,PROD4764,CUST26316,18,Standard,Suburban,No
ORD006159,PROD6340,CUST71269,33,Express,Urban,No
ORD012411,PROD5333,CUST93278,28,Express,Urban,No
ORD004098,PROD7473,CUST31418,46,Express,Urban,No
ORD005940,PROD5230,CUST26984,2,Express,Suburban,No
ORD013148,PROD9502,CUST73244,3,Standard,Urban,No
ORD008787,PROD7200,CUST13727,11,Standard,Rural,No
ORD004292,PROD3406,CUST80299,25,Express,Urban,No
ORD006882,PROD7788,CUST34403,6,Same-Day,Rural,No
ORD001797,PROD5067,CUST62322,27,Same-Day,Urban,No
ORD003877,PROD3018,CUST73967,47,Standard,Urban,Yes
ORD004249,PROD9465,CUST12608,15,Standard,Suburban,No
ORD001778,PROD6658,CUST57490,9,Standard,Rural,No
ORD001052,PROD3290,CUST69222,6,Express,Urban,No
ORD003328,PROD8715,CUST41985,45,Same-Day,Suburban,No
ORD007677,PROD7135,CUST87275,46,Express,Rural,Yes
ORD000133,PROD3646,CUST36626,12,Express,Suburban,No
ORD002693,PROD2425,CUST39992,29,Express,Suburban,No
ORD013021,PROD4192,CUST65565,1,Standard,Suburban,Yes
ORD012912,PROD7879,CUST84562,4,Same-Day,Suburban,No
ORD002037,PROD8319,CUST55937,14,Standard,Suburban,No
ORD013506,PROD1732,CUST30621,1,Express,Urban,No
ORD005580,PROD2677,CUST15214,21,Same-Day,Rural,No
ORD011686,PROD4349,CUST99005,3,Express,Urban,No
ORD003162,PROD3615,CUST98501,49,Express,Urban,No
ORD013219,PROD6288,CUST68254,12,Standard,Rural,No
ORD002859,PROD9655,CUST10693,12,Express,Suburban,No
ORD005765,PROD4878,CUST22344,37,Same-Day,Rural,No
ORD006401,PROD2990,CUST84755,25,Same-Day,Suburban,No
ORD006090,PROD1256,CUST32140,8,Standard,Suburban,No
ORD010261,PROD1490,CUST34803,5,Express,Urban,No
ORD004539,PROD7518,CUST16992,39,Standard,Suburban,No
ORD012281,PROD4845,CUST43130,28,Standard,Rural,No
ORD005641,PROD3798,CUST90599,14,Express,Suburban,No
ORD009243,PROD6828,CUST33494,25,Express,Urban,No
ORD001054,PROD1609,CUST80493,40,Standard,Suburban,No
ORD010635,PROD3256,CUST39627,47,Same-Day,Urban,No
ORD010423,PROD7317,CUST85797,19,Standard,Urban,No
ORD011920,PROD9026,CUST21402,1,Express,Urban,No
ORD004413,PROD2049,CUST63253,18,Standard,Urban,No
ORD012923,PROD8802,CUST31423,27,Standard,Rural,No
ORD006076,PROD2978,CUST83101,49,Express,Suburban,No
ORD006725,PROD8938,CUST90118,32,Standard,Suburban,No
ORD011630,PROD7747,CUST54547,44,Standard,Suburban,No
ORD005123,PROD5713,CUST16136,21,Same-Day,Urban,No
ORD007215,PROD5033,CUST82898,25,Express,Rural,No
ORD001254,PROD6655,CUST64712,14,Express,Suburban,No
ORD011399,PROD4644,CUST42207,18,Express,Urban,No
ORD002522,PROD6890,CUST12428,1,Same-Day,Urban,No
ORD003336,PROD7249,CUST16323,4,Express,Rural,No
ORD004463,PROD3867,CUST80576,27,Standard,Rural,No
ORD006384,PROD6187,CUST26573,31,Same-Day,Urban,No
ORD003274,PROD5831,CUST18625,44,Express,Urban,No
ORD007740,PROD5504,CUST74922,6,Standard,Suburban,No
ORD010842,PROD9182,CUST97716,14,Standard,Urban,No
ORD010462,PROD8230,CUST63130,5,Express,Suburban,No
ORD008640,PROD8431,CUST10731,7,Standard,Suburban,No
ORD004880,PROD8168,CUST81427,39,Standard,Urban,Yes
ORD010731,PROD3535,CUST69764,33,Same-Day,Suburban,No
ORD001365,PROD4084,CUST43679,33,Standard,Rural,No
ORD010729,PROD3234,CUST36926,7,Standard,Urban,No
ORD004634,PROD8322,CUST37887,22,Express,Rural,No
ORD012189,PROD2290,CUST68735,31,Express,Urban,No
ORD012158,PROD5877,CUST69021,27,Same-Day,Rural,No
ORD007722,PROD2450,CUST22167,3,Express,Suburban,Yes
ORD001853,PROD7576,CUST25507,4,Same-Day,Suburban,No
ORD009681,PROD9724,CUST14278,4,Standard,Urban,No
ORD013904,PROD2998,CUST37905,36,Standard,Suburban,No
ORD005396,PROD6424,CUST94093,45,Express,Urban,No
ORD012507,PROD5062,CUST51072,12,Standard,Suburban,No
ORD010698,PROD9391,CUST78785,17,Express,Rural,No
ORD005155,PROD2091,CUST66659,41,Standard,Urban,No
ORD003543,PROD5250,CUST25252,48,Express,Rural,No
ORD012508,PROD5009,CUST57833,17,Same-Day,Urban,No
ORD000899,PROD7325,CUST50735,45,Express,Urban,No
ORD006909,PROD6220,CUST35861,15,Express,Rural,No
ORD011900,PROD3174,CUST20018,21,Same-Day,Rural,No
ORD006637,PROD3630,CUST96408,3,Same-Day,Urban,No
ORD011473,PROD2860,CUST74729,15,Standard,Rural,Yes
ORD005617,PROD8672,CUST57957,3,Standard,Rural,No
ORD009796,PROD4471,CUST67868,36,Standard,Rural,No
ORD003937,PROD5374,CUST32198,35,Same-Day,Rural,No
ORD010521,PROD3323,CUST86847,24,Express,Suburban,No
ORD007809,PROD5409,CUST27099,44,Standard,Rural,No
ORD009899,PROD2367,CUST37596,26,Same-Day,Urban,No
ORD014972,PROD4201,CUST12679,7,Express,Rural,No
ORD003873,PROD6536,CUST93366,11,Same-Day,Urban,No
ORD001707,PROD8842,CUST73986,15,Express,Suburban,No
ORD009489,PROD5781,CUST68633,20,Same-Day,Rural,No
ORD011265,PROD6596,CUST17637,29,Standard,Rural,No
ORD012917,PROD7800,CUST25754,21,Express,Suburban,No
ORD009165,PROD6799,CUST51508,21,Same-Day,Suburban,No
ORD006005,PROD5896,CUST74744,46,Express,Rural,Yes
ORD006474,PROD3353,CUST31739,26,Standard,Urban,No
ORD002143,PROD9715,CUST51491,34,Same-Day,Urban,No
ORD011472,PROD6224,CUST47926,35,Same-Day,Urban,No
ORD005858,PROD8802,CUST86858,38,Same-Day,Rural,Yes
ORD014996,PROD7452,CUST10456,29,Same-Day,Urban,No
ORD012067,PROD3262,CUST21674,18,Same-Day,Urban,No
ORD000170,PROD2049,CUST36016,16,Express,Urban,No
ORD007511,PROD5019,CUST68549,41,Standard,Rural,No
ORD013719,PROD6028,CUST35112,28,Same-Day,Suburban,No
ORD006112,PROD2442,CUST73653,24,Same-Day,Rural,Yes
ORD002340,PROD2320,CUST94795,36,Standard,Rural,No
ORD012976,PROD4076,CUST65945,11,Standard,Suburban,No
ORD005340,PROD8362,CUST48132,43,Standard,Urban,No
ORD010989,PROD2933,CUST21466,33,Standard,Urban,No
ORD008190,PROD4581,CUST43910,5,Standard,Rural,Yes
ORD009539,PROD3973,CUST56007,34,Same-Day,Suburban,No
ORD011939,PROD2486,CUST21895,22,Same-Day,Rural,No
ORD014190,PROD2675,CUST23719,49,Standard,Suburban,No
ORD005840,PROD2382,CUST41135,37,Standard,Suburban,No
ORD005982,PROD4700,CUST18407,21,Express,Rural,No
ORD011082,PROD8062,CUST79563,2,Express,Rural,No
ORD005197,PROD4695,CUST40001,40,Express,Rural,No
ORD003633,PROD6113,CUST77254,34,Express,Urban,No
ORD000323,PROD1722,CUST67560,19,Same-Day,Urban,No
ORD003894,PROD6273,CUST61663,16,Express,Suburban,No
ORD003967,PROD9955,CUST61028,40,Express,Suburban,No
ORD004721,PROD5256,CUST36786,41,Same-Day,Urban,No
ORD012610,PROD3587,CUST92938,4,Standard,Suburban,No
ORD013977,PROD6227,CUST73242,48,Express,Urban,No
ORD014149,PROD7259,CUST64286,44,Same-Day,Suburban,No
ORD011235,PROD5801,CUST31526,4,Same-Day,Urban,No
ORD003880,PROD9260,CUST87326,4,Same-Day,Suburban,No
ORD003589,PROD3470,CUST86952,37,Standard,Urban,No
ORD014744,PROD6488,CUST16945,36,Same-Day,Urban,Yes
ORD013386,PROD1969,CUST15652,34,Same-Day,Urban,No
ORD008882,PROD1027,CUST61189,29,Express,Urban,No
ORD009384,PROD6240,CUST63444,24,Same-Day,Suburban,No
ORD006673,PROD3226,CUST17946,6,Standard,Rural,No
ORD008174,PROD3932,CUST31105,4,Same-Day,Suburban,No
ORD004633,PROD8987,CUST34725,24,Same-Day,Urban,No
ORD010800,PROD8666,CUST64798,9,Express,Suburban,No
ORD003173,PROD3885,CUST79659,29,Same-Day,Suburban,No
ORD013620,PROD4014,CUST25555,7,Same-Day,Suburban,No
ORD000439,PROD9375,CUST64694,29,Standard,Suburban,No
ORD009982,PROD4253,CUST28238,10,Standard,Urban,No
ORD001973,PROD1084,CUST62276,30,Standard,Suburban,No
ORD001827,PROD3194,CUST26153,4,Same-Day,Rural,No
ORD013434,PROD7370,CUST21374,9,Standard,Suburban,No
ORD006997,PROD5144,CUST23262,27,Same-Day,Rural,No
ORD005549,PROD9558,CUST31934,25,Standard,Urban,No
ORD002048,PROD6026,CUST33671,47,Standard,Suburban,No
ORD002984,PROD1130,CUST42224,13,Express,Rural,No
ORD003759,PROD7319,CUST37463,9,Same-Day,Suburban,No
ORD010105,PROD7412,CUST37858,2,Standard,Urban,No
ORD005264,PROD4166,CUST98060,41,Express,Suburban,No
ORD008161,PROD9011,CUST20829,16,Express,Urban,No
ORD013816,PROD3210,CUST50965,29,Same-Day,Rural,Yes
ORD014547,PROD2132,CUST56385,9,Standard,Suburban,No
ORD008642,PROD7146,CUST39164,12,Express,Rural,No
ORD004454,PROD6703,CUST60023,47,Standard,Rural,No
ORD010982,PROD7180,CUST17376,23,Same-Day,Urban,No
ORD013057,PROD3230,CUST63709,1,Express,Rural,No
ORD004669,PROD7505,CUST78836,20,Same-Day,Rural,No
ORD004408,PROD2492,CUST44888,31,Same-Day,Suburban,No
ORD001109,PROD5106,CUST33478,46,Standard,Rural,No
ORD013560,PROD2089,CUST75394,5,Same-Day,Rural,No
ORD005059,PROD4617,CUST10440,26,Same-Day,Urban,No
ORD000671,PROD6764,CUST84252,36,Standard,Rural,No
ORD002692,PROD6711,CUST51939,37,Express,Urban,Yes
ORD010484,PROD2887,CUST18454,12,Express,Suburban,No
ORD003679,PROD3024,CUST76482,22,Same-Day,Urban,No
ORD000915,PROD2225,CUST73926,49,Standard,Rural,Yes
ORD005044,PROD8115,CUST35792,26,Same-Day,Urban,No
ORD005623,PROD4796,CUST97609,48,Express,Suburban,No
ORD006412,PROD6427,CUST33906,48,Express,Urban,No
ORD003596,PROD6183,CUST95933,11,Express,Rural,No
ORD010204,PROD9384,CUST92903,20,Standard,Rural,No
ORD012695,PROD5774,CUST97891,24,Standard,Suburban,No
ORD000198,PROD6804,CUST34162,12,Same-Day,Rural,No
ORD001332,PROD3504,CUST56004,2,Same-Day,Urban,No
ORD012032,PROD6647,CUST56447,33,Standard,Suburban,Yes
ORD004340,PROD8069,CUST55470,9,Express,Rural,No
ORD007410,PROD1994,CUST98291,3,Standard,Urban,No
ORD012353,PROD4273,CUST69846,14,Standard,Urban,No
ORD013347,PROD5076,CUST77416,11,Express,Suburban,No
ORD013015,PROD8146,CUST82267,20,Standard,Urban,No
ORD014797,PROD2770,CUST65905,31,Same-Day,Urban,No
ORD012875,PROD3580,CUST87852,31,Standard,Urban,Yes
ORD010186,PROD1166,CUST83018,14,Same-Day,Urban,No
ORD001192,PROD7730,CUST80661,1,Same-Day,Urban,No
ORD004968,PROD5075,CUST82334,35,Same-Day,Suburban,No
ORD010887,PROD9955,CUST85039,41,Same-Day,Urban,No
ORD006660,PROD6813,CUST32708,37,Standard,Suburban,No
ORD009525,PROD4614,CUST46360,43,Standard,Urban,Yes
ORD011751,PROD2496,CUST89474,6,Same-Day,Rural,No
ORD003791,PROD2560,CUST45917,29,Standard,Suburban,No
ORD002986,PROD4287,CUST43182,7,Same-Day,Suburban,No
ORD004427,PROD1175,CUST66807,7,Express,Suburban,No
ORD014477,PROD2582,CUST41692,6,Same-Day,Suburban,No
ORD001025,PROD2233,CUST96230,41,Standard,Urban,No
ORD003038,PROD6345,CUST22589,12,Same-Day,Urban,No
ORD007095,PROD5361,CUST93588,10,Same-Day,Urban,No
