order_id,product_id,product_category,seasonality_factor,day_of_week,holiday_event(yes/no),discount(%)
ORD010088,PROD5333,Electronics,Festival,Monday,No,32
ORD006921,PROD3456,Groceries,Normal,Monday,No,32
ORD014484,PROD4392,Pharmaceuticals,Festival,Monday,Yes,34
ORD010750,PROD8271,Groceries,Peak,Monday,No,19
ORD001099,PROD4394,Clothing,Peak,Monday,No,35
ORD006871,PROD7997,Groceries,Festival,Monday,No,32
ORD011593,PROD9736,Electronics,Normal,Monday,No,47
ORD006747,PROD5960,Furniture,Festival,Monday,No,43
ORD013721,PROD7436,Pharmaceuticals,Peak,Monday,No,48
ORD007866,PROD1260,Clothing,Normal,Monday,No,11
ORD009647,PROD2251,Groceries,Normal,Monday,Yes,44
ORD006613,PROD4217,Furniture,Normal,Monday,No,26
ORD006561,PROD1211,Clothing,Normal,Monday,No,17
ORD007474,PROD8968,Electronics,Festival,Monday,Yes,13
ORD005451,PROD2932,Electronics,Normal,Monday,Yes,18
ORD014816,PROD2571,Clothing,Normal,Monday,No,46
ORD002875,PROD4534,Groceries,Festival,Monday,Yes,9
ORD007137,PROD5155,Furniture,Normal,Monday,No,31
ORD009269,PROD5098,Groceries,Peak,Monday,No,46
ORD006317,PROD4085,Furniture,Festival,Monday,No,19
ORD003630,PROD5076,Electronics,Normal,Monday,No,26
ORD000905,PROD6439,Electronics,Peak,Monday,No,18
ORD005460,PROD4296,Electronics,Festival,Monday,No,19
ORD007010,PROD2478,Electronics,Normal,Monday,Yes,31
ORD006500,PROD4678,Electronics,Normal,Monday,No,38
ORD009117,PROD6944,Pharmaceuticals,Off-Peak,Monday,No,48
ORD008063,PROD6633,Pharmaceuticals,Normal,Monday,Yes,27
ORD002291,PROD1554,Furniture,Off-Peak,Monday,No,35
ORD001214,PROD1474,Clothing,Off-Peak,Monday,No,9
ORD009054,PROD1756,Clothing,Peak,Monday,No,46
ORD006639,PROD4962,Furniture,Off-Peak,Monday,No,19
ORD004708,PROD8126,Clothing,Festival,Monday,No,4
ORD012024,PROD8152,Clothing,Normal,Monday,No,14
ORD006532,PROD8553,Groceries,Normal,Monday,Yes,27
ORD004392,PROD6641,Groceries,Festival,Monday,No,36
ORD005870,PROD1194,Clothing,Normal,Monday,Yes,22
ORD002238,PROD8846,Clothing,Peak,Monday,No,45
ORD005864,PROD7390,Groceries,Normal,Monday,No,44
ORD000982,PROD7248,Clothing,Off-Peak,Monday,No,24
ORD004534,PROD5501,Furniture,Festival,Monday,No,14
ORD001389,PROD6543,Furniture,Off-Peak,Monday,No,5
ORD001346,PROD5500,Pharmaceuticals,Peak,Monday,No,24
ORD014238,PROD9064,Groceries,Festival,Monday,No,30
ORD000611,PROD7882,Groceries,Normal,Monday,No,33
ORD007055,PROD8837,Groceries,Normal,Monday,Yes,2
ORD002798,PROD1152,Pharmaceuticals,Festival,Monday,No,10
ORD005301,PROD9456,Groceries,Festival,Monday,No,10
ORD002323,PROD2578,Clothing,Peak,Monday,No,19
ORD013626,PROD2136,Groceries,Festival,Monday,No,1
ORD004689,PROD8260,Groceries,Festival,Monday,No,18
ORD005447,PROD1025,Groceries,Normal,Monday,Yes,37
ORD005929,PROD7995,Groceries,Festival,Monday,No,47
ORD008794,PROD7583,Groceries,Festival,Monday,No,12
ORD014466,PROD9265,Electronics,Off-Peak,Monday,No,2
ORD008516,PROD2103,Furniture,Festival,Monday,Yes,16
ORD006178,PROD3374,Electronics,Peak,Monday,Yes,17
ORD003766,PROD3611,Clothing,Peak,Monday,No,7
ORD007728,PROD4152,Groceries,Peak,Monday,No,13
ORD005365,PROD4323,Electronics,Festival,Monday,No,11
ORD012386,PROD1388,Clothing,Festival,Monday,No,3
ORD013658,PROD1324,Groceries,Normal,Monday,No,14
ORD013188,PROD3631,Furniture,Normal,Monday,Yes,20
ORD007613,PROD5902,Electronics,Off-Peak,Monday,No,47
ORD009538,PROD9125,Furniture,Off-Peak,Monday,No,31
ORD014177,PROD6351,Furniture,Off-Peak,Monday,No,6
ORD005499,PROD3446,Clothing,Normal,Monday,No,7
ORD006266,PROD5859,Groceries,Peak,Monday,Yes,17
ORD004352,PROD7971,Pharmaceuticals,Normal,Monday,No,3
ORD002118,PROD3948,Clothing,Peak,Monday,Yes,23
ORD014145,PROD7039,Pharmaceuticals,Festival,Monday,Yes,29
ORD005820,PROD5552,Pharmaceuticals,Peak,Monday,No,15
ORD006850,PROD5907,Clothing,Normal,Monday,No,25
ORD000295,PROD7054,Groceries,Festival,Monday,Yes,30
ORD012474,PROD7223,Electronics,Peak,Monday,Yes,30
ORD006623,PROD5942,Furniture,Festival,Monday,Yes,11
ORD004101,PROD3561,Groceries,Normal,Monday,No,12
ORD010896,PROD9205,Pharmaceuticals,Festival,Monday,Yes,49
ORD009849,PROD6554,Pharmaceuticals,Festival,Monday,Yes,38
ORD013526,PROD3900,Electronics,Peak,Monday,No,11
ORD014670,PROD8826,Pharmaceuticals,Off-Peak,Monday,No,43
ORD007776,PROD3973,Pharmaceuticals,Normal,Monday,No,47
ORD007927,PROD5494,Groceries,Peak,Monday,No,15
ORD013218,PROD3761,Pharmaceuticals,Normal,Monday,No,46
ORD014857,PROD2759,Furniture,Off-Peak,Monday,No,15
ORD005476,PROD6415,Furniture,Festival,Monday,Yes,48
ORD008691,PROD3644,Furniture,Peak,Monday,No,49
ORD014903,PROD4782,Furniture,Normal,Monday,No,35
ORD003513,PROD8646,Groceries,Peak,Monday,Yes,36
ORD011860,PROD2064,Furniture,Peak,Monday,Yes,25
ORD002706,PROD9720,Pharmaceuticals,Off-Peak,Monday,No,46
ORD011344,PROD4451,Clothing,Normal,Monday,No,30
ORD008889,PROD6237,Clothing,Off-Peak,Monday,No,27
ORD010099,PROD9502,Clothing,Peak,Monday,No,42
ORD004831,PROD3001,Electronics,Normal,Monday,No,36
ORD010110,PROD3111,Clothing,Off-Peak,Monday,No,19
ORD002172,PROD9255,Clothing,Normal,Monday,No,23
ORD008223,PROD5351,Electronics,Festival,Monday,No,27
ORD000154,PROD3705,Groceries,Off-Peak,Monday,No,25
ORD005572,PROD2927,Clothing,Festival,Monday,No,44
ORD007046,PROD2347,Groceries,Normal,Monday,No,30
ORD007386,PROD8295,Furniture,Peak,Monday,No,23
ORD002237,PROD2922,Electronics,Peak,Monday,Yes,4
ORD002623,PROD2931,Furniture,Normal,Monday,No,42
ORD011160,PROD1630,Pharmaceuticals,Festival,Monday,No,40
ORD001483,PROD8391,Pharmaceuticals,Festival,Monday,No,18
ORD005092,PROD4970,Groceries,Festival,Monday,Yes,3
ORD005896,PROD1173,Clothing,Peak,Monday,No,40
ORD012515,PROD1659,Furniture,Peak,Monday,No,35
ORD008643,PROD8878,Groceries,Festival,Monday,No,21
ORD013830,PROD6983,Groceries,Normal,Monday,No,49
ORD002162,PROD1797,Electronics,Festival,Monday,No,34
ORD011885,PROD2483,Electronics,Normal,Monday,No,46
ORD004931,PROD4139,Groceries,Festival,Monday,No,15
ORD002616,PROD6766,Furniture,Peak,Monday,No,15
ORD004639,PROD3373,Furniture,Festival,Monday,Yes,22
ORD006501,PROD1439,Clothing,Festival,Monday,No,41
ORD005705,PROD2462,Electronics,Festival,Monday,No,5
ORD014920,PROD2465,Furniture,Normal,Monday,No,26
ORD011672,PROD7543,Electronics,Festival,Monday,No,22
ORD005685,PROD9098,Clothing,Festival,Monday,No,19
ORD005902,PROD9605,Electronics,Normal,Monday,No,24
ORD012564,PROD5909,Furniture,Off-Peak,Monday,Yes,15
ORD013911,PROD2500,Groceries,Normal,Monday,Yes,9
ORD006502,PROD1040,Clothing,Peak,Monday,Yes,17
ORD014754,PROD6922,Groceries,Festival,Monday,No,17
ORD010974,PROD1431,Groceries,Off-Peak,Monday,No,28
ORD008954,PROD8239,Electronics,Off-Peak,Monday,No,16
ORD007797,PROD2885,Pharmaceuticals,Festival,Monday,No,9
ORD011021,PROD3005,Pharmaceuticals,Normal,Monday,No,23
ORD004749,PROD7385,Groceries,Festival,Monday,No,43
ORD000837,PROD5375,Clothing,Normal,Monday,No,47
ORD013481,PROD1903,Electronics,Festival,Monday,No,4
ORD006174,PROD8716,Pharmaceuticals,Normal,Monday,No,15
ORD002561,PROD9537,Furniture,Off-Peak,Monday,No,6
ORD008799,PROD5578,Pharmaceuticals,Festival,Monday,No,32
ORD008179,PROD9106,Electronics,Peak,Monday,Yes,25
ORD012843,PROD7881,Clothing,Festival,Monday,No,47
ORD007238,PROD3118,Clothing,Festival,Monday,No,38
ORD008992,PROD5509,Pharmaceuticals,Normal,Monday,No,26
ORD011989,PROD9306,Pharmaceuticals,Off-Peak,Monday,No,22
ORD002636,PROD4043,Groceries,Off-Peak,Monday,No,15
ORD013155,PROD4909,Furniture,Off-Peak,Monday,No,36
ORD009297,PROD6426,Electronics,Peak,Monday,Yes,37
ORD007220,PROD5657,Electronics,Festival,Monday,No,16
ORD014606,PROD7918,Pharmaceuticals,Normal,Monday,No,32
ORD009012,PROD3051,Furniture,Peak,Monday,No,18
ORD004515,PROD4965,Groceries,Normal,Monday,No,11
ORD002268,PROD5836,Electronics,Festival,Monday,No,11
ORD008696,PROD7515,Pharmaceuticals,Peak,Monday,No,34
ORD000911,PROD1251,Groceries,Peak,Monday,No,38
ORD001769,PROD8202,Furniture,Off-Peak,Monday,No,20
ORD012698,PROD2114,Furniture,Normal,Tuesday,No,17
ORD007304,PROD5073,Furniture,Off-Peak,Tuesday,No,22
ORD007534,PROD1487,Furniture,Peak,Tuesday,No,47
ORD013596,PROD3338,Groceries,Festival,Tuesday,No,46
ORD010198,PROD2992,Furniture,Festival,Tuesday,No,29
ORD000141,PROD6947,Electronics,Normal,Tuesday,No,33
ORD002635,PROD7931,Groceries,Peak,Tuesday,No,36
ORD006278,PROD7274,Pharmaceuticals,Peak,Tuesday,No,4
ORD009674,PROD5028,Clothing,Normal,Tuesday,No,5
ORD010647,PROD4585,Clothing,Off-Peak,Tuesday,Yes,16
ORD014815,PROD3087,Groceries,Off-Peak,Tuesday,No,7
ORD002489,PROD6339,Pharmaceuticals,Normal,Tuesday,Yes,45
ORD009731,PROD7823,Furniture,Festival,Tuesday,No,43
ORD005036,PROD2562,Furniture,Festival,Tuesday,No,26
ORD011603,PROD8409,Electronics,Peak,Tuesday,Yes,43
ORD011440,PROD3918,Pharmaceuticals,Normal,Tuesday,No,46
ORD005916,PROD2965,Pharmaceuticals,Festival,Tuesday,Yes,21
ORD003308,PROD9043,Clothing,Festival,Tuesday,No,49
ORD002871,PROD1273,Furniture,Off-Peak,Tuesday,Yes,31
ORD008375,PROD6681,Groceries,Festival,Tuesday,No,21
ORD005644,PROD3087,Furniture,Peak,Tuesday,Yes,14
ORD003153,PROD6224,Electronics,Off-Peak,Tuesday,Yes,16
ORD009865,PROD2428,Electronics,Festival,Tuesday,Yes,5
ORD003261,PROD7783,Furniture,Peak,Tuesday,No,6
ORD010953,PROD1579,Pharmaceuticals,Off-Peak,Tuesday,No,25
ORD014533,PROD4954,Furniture,Peak,Tuesday,No,14
ORD002117,PROD7698,Clothing,Festival,Tuesday,No,36
ORD010223,PROD8652,Groceries,Off-Peak,Tuesday,No,37
ORD002650,PROD8939,Groceries,Festival,Tuesday,No,34
ORD010222,PROD5822,Electronics,Peak,Tuesday,No,16
ORD001654,PROD3255,Furniture,Festival,Tuesday,Yes,41
ORD000686,PROD5530,Pharmaceuticals,Peak,Tuesday,Yes,30
ORD007919,PROD3875,Clothing,Off-Peak,Tuesday,No,39
ORD003363,PROD5896,Groceries,Normal,Tuesday,No,35
ORD011676,PROD8134,Groceries,Normal,Tuesday,No,28
ORD002164,PROD1724,Pharmaceuticals,Peak,Tuesday,No,15
ORD010851,PROD2054,Groceries,Festival,Tuesday,No,30
ORD006824,PROD3781,Clothing,Off-Peak,Tuesday,No,31
ORD007698,PROD8883,Furniture,Normal,Tuesday,No,29
ORD005594,PROD8268,Pharmaceuticals,Festival,Tuesday,No,15
ORD001072,PROD5583,Pharmaceuticals,Peak,Tuesday,No,14
ORD003203,PROD3420,Pharmaceuticals,Festival,Tuesday,No,46
ORD000692,PROD4727,Furniture,Peak,Tuesday,No,45
ORD008593,PROD3057,Furniture,Festival,Tuesday,No,30
ORD002386,PROD8161,Pharmaceuticals,Peak,Tuesday,No,10
ORD009946,PROD3384,Clothing,Festival,Tuesday,Yes,8
ORD001843,PROD2946,Clothing,Festival,Tuesday,No,42
ORD000331,PROD1158,Groceries,Normal,Tuesday,No,2
ORD012621,PROD7075,Groceries,Normal,Tuesday,No,8
ORD003497,PROD1328,Pharmaceuticals,Peak,Tuesday,No,26
ORD001943,PROD6654,Pharmaceuticals,Peak,Tuesday,No,36
ORD001064,PROD7078,Electronics,Peak,Tuesday,No,37
ORD001564,PROD1726,Furniture,Festival,Tuesday,Yes,28
ORD011077,PROD1727,Furniture,Festival,Tuesday,No,7
ORD004816,PROD8257,Furniture,Normal,Tuesday,No,37
ORD013582,PROD8683,Furniture,Festival,Tuesday,No,21
ORD014552,PROD7359,Groceries,Off-Peak,Tuesday,No,28
ORD005540,PROD6363,Groceries,Normal,Tuesday,Yes,35
ORD000408,PROD6967,Groceries,Off-Peak,Tuesday,No,30
ORD009427,PROD6618,Clothing,Off-Peak,Tuesday,No,25
ORD004396,PROD4764,Clothing,Off-Peak,Tuesday,No,24
ORD006159,PROD6340,Electronics,Peak,Tuesday,Yes,3
ORD012411,PROD5333,Furniture,Festival,Tuesday,No,40
ORD004098,PROD7473,Furniture,Off-Peak,Tuesday,No,40
ORD005940,PROD5230,Furniture,Normal,Tuesday,No,49
ORD013148,PROD9502,Groceries,Normal,Tuesday,Yes,38
ORD008787,PROD7200,Electronics,Peak,Tuesday,No,27
ORD004292,PROD3406,Groceries,Peak,Tuesday,No,5
ORD006882,PROD7788,Groceries,Peak,Tuesday,No,14
ORD001797,PROD5067,Clothing,Festival,Tuesday,No,2
ORD003877,PROD3018,Pharmaceuticals,Peak,Tuesday,Yes,41
ORD004249,PROD9465,Electronics,Normal,Tuesday,No,31
ORD001778,PROD6658,Pharmaceuticals,Off-Peak,Tuesday,No,4
ORD001052,PROD3290,Clothing,Off-Peak,Tuesday,No,6
ORD003328,PROD8715,Furniture,Peak,Tuesday,No,37
ORD007677,PROD7135,Electronics,Festival,Tuesday,No,25
ORD000133,PROD3646,Groceries,Normal,Tuesday,No,48
ORD002693,PROD2425,Pharmaceuticals,Off-Peak,Tuesday,No,6
ORD013021,PROD4192,Groceries,Off-Peak,Tuesday,No,37
ORD012912,PROD7879,Furniture,Normal,Tuesday,No,21
ORD002037,PROD8319,Groceries,Off-Peak,Tuesday,Yes,43
ORD013506,PROD1732,Groceries,Peak,Tuesday,No,8
ORD005580,PROD2677,Pharmaceuticals,Festival,Tuesday,Yes,27
ORD011686,PROD4349,Pharmaceuticals,Peak,Tuesday,Yes,42
ORD003162,PROD3615,Electronics,Festival,Tuesday,Yes,24
ORD013219,PROD6288,Clothing,Off-Peak,Tuesday,No,22
ORD002859,PROD9655,Furniture,Peak,Tuesday,Yes,18
ORD005765,PROD4878,Groceries,Festival,Tuesday,No,16
ORD006401,PROD2990,Furniture,Off-Peak,Tuesday,Yes,41
ORD006090,PROD1256,Electronics,Normal,Tuesday,No,37
ORD010261,PROD1490,Pharmaceuticals,Festival,Tuesday,No,20
ORD004539,PROD7518,Clothing,Peak,Tuesday,No,34
ORD012281,PROD4845,Furniture,Festival,Tuesday,No,47
ORD005641,PROD3798,Groceries,Off-Peak,Tuesday,Yes,8
ORD009243,PROD6828,Furniture,Peak,Tuesday,No,24
ORD001054,PROD1609,Groceries,Festival,Tuesday,No,7
ORD010635,PROD3256,Electronics,Festival,Tuesday,Yes,45
ORD010423,PROD7317,Furniture,Normal,Tuesday,No,48
ORD011920,PROD9026,Electronics,Off-Peak,Tuesday,No,45
ORD004413,PROD2049,Electronics,Festival,Tuesday,No,37
ORD012923,PROD8802,Furniture,Normal,Tuesday,No,5
ORD006076,PROD2978,Groceries,Festival,Tuesday,Yes,7
ORD006725,PROD8938,Clothing,Peak,Tuesday,Yes,15
ORD011630,PROD7747,Electronics,Normal,Tuesday,No,0
ORD005123,PROD5713,Groceries,Normal,Tuesday,No,11
ORD007215,PROD5033,Groceries,Peak,Tuesday,No,30
ORD001254,PROD6655,Groceries,Peak,Tuesday,No,16
ORD011399,PROD4644,Furniture,Peak,Tuesday,No,45
ORD002522,PROD6890,Pharmaceuticals,Off-Peak,Tuesday,No,5
ORD003336,PROD7249,Clothing,Peak,Tuesday,No,12
ORD004463,PROD3867,Electronics,Off-Peak,Tuesday,No,29
ORD006384,PROD6187,Clothing,Peak,Tuesday,No,35
ORD003274,PROD5831,Furniture,Normal,Tuesday,No,35
ORD007740,PROD5504,Pharmaceuticals,Off-Peak,Tuesday,No,47
ORD010842,PROD9182,Pharmaceuticals,Peak,Tuesday,Yes,23
ORD010462,PROD8230,Clothing,Peak,Tuesday,Yes,28
ORD008640,PROD8431,Clothing,Off-Peak,Tuesday,No,43
ORD004880,PROD8168,Furniture,Normal,Tuesday,No,0
ORD010731,PROD3535,Electronics,Peak,Tuesday,No,17
ORD001365,PROD4084,Groceries,Off-Peak,Tuesday,Yes,25
ORD010729,PROD3234,Clothing,Festival,Tuesday,No,45
ORD004634,PROD8322,Furniture,Festival,Tuesday,No,32
ORD012189,PROD2290,Groceries,Peak,Tuesday,No,8
ORD012158,PROD5877,Electronics,Normal,Tuesday,No,23
ORD007722,PROD2450,Electronics,Off-Peak,Tuesday,No,31
ORD001853,PROD7576,Pharmaceuticals,Normal,Tuesday,No,22
ORD009681,PROD9724,Groceries,Normal,Tuesday,No,37
ORD013904,PROD2998,Electronics,Normal,Tuesday,Yes,17
ORD005396,PROD6424,Pharmaceuticals,Festival,Tuesday,No,40
ORD012507,PROD5062,Clothing,Peak,Tuesday,Yes,33
ORD010698,PROD9391,Clothing,Normal,Tuesday,No,47
ORD005155,PROD2091,Furniture,Normal,Tuesday,No,21
ORD003543,PROD5250,Pharmaceuticals,Normal,Tuesday,No,12
ORD012508,PROD5009,Groceries,Peak,Tuesday,Yes,5
ORD000899,PROD7325,Groceries,Festival,Tuesday,No,18
ORD006909,PROD6220,Groceries,Festival,Tuesday,No,34
ORD011900,PROD3174,Electronics,Off-Peak,Tuesday,Yes,32
ORD006637,PROD3630,Electronics,Off-Peak,Tuesday,No,12
ORD011473,PROD2860,Groceries,Peak,Tuesday,Yes,9
ORD005617,PROD8672,Furniture,Peak,Tuesday,Yes,0
ORD009796,PROD4471,Pharmaceuticals,Peak,Tuesday,Yes,29
ORD003937,PROD5374,Furniture,Festival,Tuesday,No,28
ORD010521,PROD3323,Pharmaceuticals,Festival,Tuesday,No,49
ORD007809,PROD5409,Groceries,Normal,Tuesday,No,24
ORD009899,PROD2367,Clothing,Peak,Tuesday,No,15
ORD014972,PROD4201,Electronics,Normal,Tuesday,No,34
ORD003873,PROD6536,Furniture,Normal,Tuesday,No,17
ORD001707,PROD8842,Pharmaceuticals,Peak,Tuesday,No,35
ORD009489,PROD5781,Pharmaceuticals,Off-Peak,Tuesday,No,13
ORD011265,PROD6596,Groceries,Festival,Tuesday,No,17
ORD012917,PROD7800,Furniture,Festival,Wednesday,No,43
ORD009165,PROD6799,Groceries,Off-Peak,Wednesday,Yes,0
ORD006005,PROD5896,Furniture,Off-Peak,Wednesday,No,18
ORD006474,PROD3353,Electronics,Normal,Wednesday,No,25
ORD002143,PROD9715,Electronics,Normal,Wednesday,Yes,20
ORD011472,PROD6224,Electronics,Normal,Wednesday,No,3
ORD005858,PROD8802,Electronics,Off-Peak,Wednesday,Yes,35
ORD014996,PROD7452,Pharmaceuticals,Peak,Wednesday,No,47
ORD012067,PROD3262,Groceries,Normal,Wednesday,No,32
ORD000170,PROD2049,Electronics,Festival,Wednesday,Yes,1
ORD007511,PROD5019,Pharmaceuticals,Normal,Wednesday,No,34
ORD013719,PROD6028,Pharmaceuticals,Normal,Wednesday,Yes,31
ORD006112,PROD2442,Groceries,Peak,Wednesday,Yes,4
ORD002340,PROD2320,Furniture,Normal,Wednesday,No,12
ORD012976,PROD4076,Clothing,Peak,Wednesday,No,36
ORD005340,PROD8362,Pharmaceuticals,Off-Peak,Wednesday,Yes,17
ORD010989,PROD2933,Electronics,Normal,Wednesday,No,38
ORD008190,PROD4581,Pharmaceuticals,Off-Peak,Wednesday,No,46
ORD009539,PROD3973,Electronics,Normal,Wednesday,Yes,7
ORD011939,PROD2486,Furniture,Peak,Wednesday,Yes,1
ORD014190,PROD2675,Electronics,Normal,Wednesday,No,32
ORD005840,PROD2382,Pharmaceuticals,Peak,Wednesday,Yes,28
ORD005982,PROD4700,Pharmaceuticals,Normal,Wednesday,No,4
ORD011082,PROD8062,Groceries,Festival,Wednesday,No,40
ORD005197,PROD4695,Clothing,Festival,Wednesday,Yes,48
ORD003633,PROD6113,Groceries,Festival,Wednesday,No,42
ORD000323,PROD1722,Electronics,Normal,Wednesday,No,44
ORD003894,PROD6273,Groceries,Peak,Wednesday,Yes,23
ORD003967,PROD9955,Groceries,Festival,Wednesday,No,28
ORD004721,PROD5256,Furniture,Off-Peak,Wednesday,No,34
ORD012610,PROD3587,Electronics,Festival,Wednesday,No,8
ORD013977,PROD6227,Furniture,Festival,Wednesday,No,28
ORD014149,PROD7259,Groceries,Normal,Wednesday,No,30
ORD011235,PROD5801,Pharmaceuticals,Off-Peak,Wednesday,No,47
ORD003880,PROD9260,Clothing,Peak,Wednesday,No,11
ORD003589,PROD3470,Pharmaceuticals,Off-Peak,Wednesday,No,25
ORD014744,PROD6488,Furniture,Off-Peak,Wednesday,No,19
ORD013386,PROD1969,Clothing,Off-Peak,Wednesday,Yes,29
ORD008882,PROD1027,Pharmaceuticals,Off-Peak,Wednesday,No,19
ORD009384,PROD6240,Clothing,Normal,Wednesday,No,14
ORD006673,PROD3226,Clothing,Normal,Wednesday,No,26
ORD008174,PROD3932,Pharmaceuticals,Festival,Wednesday,Yes,25
ORD004633,PROD8987,Clothing,Off-Peak,Wednesday,Yes,30
ORD010800,PROD8666,Furniture,Festival,Wednesday,No,27
ORD003173,PROD3885,Pharmaceuticals,Festival,Wednesday,No,47
ORD013620,PROD4014,Groceries,Off-Peak,Wednesday,Yes,37
ORD000439,PROD9375,Groceries,Normal,Wednesday,No,47
ORD009982,PROD4253,Electronics,Festival,Wednesday,No,17
ORD001973,PROD1084,Electronics,Festival,Wednesday,No,49
ORD001827,PROD3194,Furniture,Off-Peak,Wednesday,No,49
ORD013434,PROD7370,Groceries,Off-Peak,Wednesday,No,44
ORD006997,PROD5144,Groceries,Festival,Wednesday,No,10
ORD005549,PROD9558,Pharmaceuticals,Normal,Wednesday,No,0
ORD002048,PROD6026,Groceries,Peak,Wednesday,No,14
ORD002984,PROD1130,Clothing,Festival,Wednesday,No,49
ORD003759,PROD7319,Clothing,Festival,Wednesday,No,32
ORD010105,PROD7412,Clothing,Peak,Wednesday,No,6
ORD005264,PROD4166,Furniture,Festival,Wednesday,No,47
ORD008161,PROD9011,Electronics,Off-Peak,Wednesday,No,19
ORD013816,PROD3210,Clothing,Festival,Wednesday,No,25
ORD014547,PROD2132,Groceries,Peak,Wednesday,No,44
ORD008642,PROD7146,Groceries,Peak,Wednesday,No,33
ORD004454,PROD6703,Electronics,Normal,Wednesday,Yes,42
ORD010982,PROD7180,Groceries,Festival,Wednesday,No,48
ORD013057,PROD3230,Pharmaceuticals,Festival,Wednesday,No,26
ORD004669,PROD7505,Furniture,Off-Peak,Wednesday,No,32
ORD004408,PROD2492,Furniture,Normal,Wednesday,No,39
ORD001109,PROD5106,Furniture,Festival,Wednesday,Yes,18
ORD013560,PROD2089,Furniture,Peak,Wednesday,No,3
ORD005059,PROD4617,Groceries,Normal,Wednesday,No,17
ORD000671,PROD6764,Clothing,Festival,Wednesday,No,19
ORD002692,PROD6711,Clothing,Off-Peak,Wednesday,No,12
ORD010484,PROD2887,Furniture,Festival,Wednesday,No,2
ORD003679,PROD3024,Pharmaceuticals,Peak,Wednesday,Yes,30
ORD000915,PROD2225,Pharmaceuticals,Festival,Wednesday,No,10
ORD005044,PROD8115,Electronics,Off-Peak,Wednesday,No,11
ORD005623,PROD4796,Pharmaceuticals,Peak,Wednesday,No,23
ORD006412,PROD6427,Pharmaceuticals,Festival,Wednesday,No,19
ORD003596,PROD6183,Furniture,Normal,Wednesday,No,41
ORD010204,PROD9384,Groceries,Peak,Wednesday,Yes,41
ORD012695,PROD5774,Pharmaceuticals,Off-Peak,Wednesday,Yes,20
ORD000198,PROD6804,Pharmaceuticals,Festival,Wednesday,No,35
ORD001332,PROD3504,Electronics,Normal,Wednesday,Yes,6
ORD012032,PROD6647,Pharmaceuticals,Normal,Wednesday,No,0
ORD004340,PROD8069,Electronics,Off-Peak,Wednesday,No,30
