order_id,product_id,warehouse_location,stock_availability,order_qty,timestamp,reorder_level,weights,size
ORD007613,PROD5902,Delhi,228,12,01-01-2024 15:00,136,5.82,Large
ORD009538,PROD9125,Bangalore,73,8,01-01-2024 15:03,91,5.29,Medium
ORD014177,PROD6351,Mumbai,204,16,01-01-2024 15:06,33,8.55,Medium
ORD005499,PROD3446,Chennai,254,1,01-01-2024 15:16,94,2.85,Medium
ORD006266,PROD5859,Mumbai,400,16,01-01-2024 15:19,138,9.71,Small
ORD004352,PROD7971,Chennai,124,4,01-01-2024 15:21,24,7.4,Large
ORD002118,PROD3948,Chennai,348,16,01-01-2024 15:28,134,2.8,Small
ORD014145,PROD7039,Kolkata,446,2,01-01-2024 15:29,115,7.63,Large
ORD005820,PROD5552,Kolkata,192,1,01-01-2024 15:38,148,5.77,Small
ORD006850,PROD5907,Chennai,349,1,01-01-2024 15:44,167,7.37,Medium
ORD000295,PROD7054,Kolkata,197,1,01-01-2024 15:46,28,7.91,Large
ORD012474,PROD7223,Chennai,493,9,01-01-2024 15:49,76,1.79,Small
ORD006623,PROD5942,Delhi,181,8,01-01-2024 15:54,114,5.55,Medium
ORD004101,PROD3561,Kolkata,453,10,01-01-2024 15:58,62,9.39,Small
ORD010896,PROD9205,Hyderabad,264,4,01-01-2024 16:17,67,3.89,Large
ORD009849,PROD6554,Kolkata,308,5,01-01-2024 16:31,44,6.34,Small
ORD013526,PROD3900,Kolkata,475,7,01-01-2024 16:34,193,4.32,Medium
ORD014670,PROD8826,Bangalore,81,6,01-01-2024 16:42,34,5.09,Medium
ORD007776,PROD3973,Mumbai,269,6,01-01-2024 16:44,95,5.94,Small
ORD007927,PROD5494,Delhi,295,11,01-01-2024 16:59,198,2.82,Medium
ORD013218,PROD3761,Mumbai,100,10,01-01-2024 17:12,116,7.16,Large
ORD014857,PROD2759,Chennai,318,4,01-01-2024 17:16,45,2.25,Large
ORD005476,PROD6415,Chennai,483,5,01-01-2024 17:18,38,1.02,Large
ORD008691,PROD3644,Kolkata,482,8,01-01-2024 17:25,92,2.05,Medium
ORD014903,PROD4782,Hyderabad,322,7,01-01-2024 17:32,59,5.26,Medium
ORD003513,PROD8646,Chennai,365,10,01-01-2024 17:40,53,6.45,Medium
ORD011860,PROD2064,Chennai,240,7,01-01-2024 17:41,91,8.15,Small
ORD002706,PROD9720,Bangalore,117,18,01-01-2024 17:41,134,1.96,Small
ORD011344,PROD4451,Hyderabad,245,6,01-01-2024 17:55,12,8.66,Medium
ORD008889,PROD6237,Bangalore,329,2,01-01-2024 18:01,199,7.71,Medium
ORD010099,PROD9502,Chennai,255,3,01-01-2024 18:09,138,4.68,Large
ORD004831,PROD3001,Chennai,19,14,01-01-2024 18:13,111,9.4,Small
ORD010110,PROD3111,Chennai,311,9,01-01-2024 18:17,112,9.92,Large
ORD002172,PROD9255,Bangalore,322,2,01-01-2024 18:21,49,4.41,Large
ORD008223,PROD5351,Hyderabad,389,18,01-01-2024 18:26,152,9.34,Small
ORD000154,PROD3705,Hyderabad,200,12,01-01-2024 18:31,104,7.49,Medium
ORD005572,PROD2927,Kolkata,377,8,01-01-2024 18:32,153,1.43,Medium
ORD007046,PROD2347,Bangalore,75,5,01-01-2024 18:33,134,8.03,Small
ORD007386,PROD8295,Bangalore,196,4,01-01-2024 18:33,41,8.45,Medium
ORD002237,PROD2922,Hyderabad,268,18,01-01-2024 18:34,142,7.75,Small
ORD002623,PROD2931,Bangalore,381,18,01-01-2024 18:35,118,8.2,Small
ORD011160,PROD1630,Kolkata,64,4,01-01-2024 18:39,132,8.43,Medium
ORD001483,PROD8391,Hyderabad,9,10,01-01-2024 18:41,41,2.68,Medium
ORD005092,PROD4970,Bangalore,156,15,01-01-2024 18:42,152,3.12,Medium
ORD005896,PROD1173,Bangalore,166,15,01-01-2024 18:59,58,6.7,Small
ORD012515,PROD1659,Chennai,425,13,01-01-2024 19:09,133,9.17,Small
ORD008643,PROD8878,Hyderabad,75,17,01-01-2024 19:09,34,3.85,Small
ORD013830,PROD6983,Kolkata,10,12,01-01-2024 19:13,45,6.29,Small
ORD002162,PROD1797,Kolkata,494,10,01-01-2024 19:18,37,7.15,Small
ORD011885,PROD2483,Hyderabad,54,3,01-01-2024 19:32,71,5.07,Medium
ORD004931,PROD4139,Hyderabad,29,8,01-01-2024 19:51,39,7.42,Small
ORD002616,PROD6766,Mumbai,444,16,01-01-2024 20:09,169,9.1,Small
ORD004639,PROD3373,Chennai,155,2,01-01-2024 20:11,41,6.62,Large
ORD006501,PROD1439,Delhi,399,3,01-01-2024 20:14,104,5.86,Medium
ORD005705,PROD2462,Chennai,38,13,01-01-2024 20:20,93,4.95,Medium
ORD014920,PROD2465,Delhi,127,13,01-01-2024 20:20,120,6.2,Medium
ORD011672,PROD7543,Mumbai,30,18,01-01-2024 20:21,37,4.2,Small
ORD005685,PROD9098,Kolkata,452,5,01-01-2024 20:25,139,4.52,Large
ORD005902,PROD9605,Bangalore,390,14,01-01-2024 20:28,91,5.79,Small
ORD012564,PROD5909,Delhi,191,7,01-01-2024 20:29,158,1.6,Small
ORD013911,PROD2500,Mumbai,496,7,01-01-2024 20:30,197,3.06,Small
ORD006502,PROD1040,Chennai,214,5,01-01-2024 20:33,57,5.89,Medium
ORD014754,PROD6922,Chennai,3,17,01-01-2024 20:35,107,4.88,Large
ORD010974,PROD1431,Chennai,30,2,01-01-2024 20:35,197,4.0,Small
ORD008954,PROD8239,Hyderabad,74,11,01-01-2024 21:08,13,7.57,Large
ORD007797,PROD2885,Kolkata,26,8,01-01-2024 21:15,75,7.24,Large
ORD011021,PROD3005,Bangalore,388,18,01-01-2024 21:17,58,2.5,Small
ORD004749,PROD7385,Kolkata,67,4,01-01-2024 21:26,141,8.91,Large
ORD000837,PROD5375,Bangalore,6,7,01-01-2024 21:28,71,5.46,Small
ORD013481,PROD1903,Bangalore,189,10,01-01-2024 21:35,172,7.67,Medium
ORD006174,PROD8716,Chennai,241,11,01-01-2024 21:35,146,6.16,Medium
ORD002561,PROD9537,Delhi,296,19,01-01-2024 21:36,119,9.98,Large
ORD008799,PROD5578,Mumbai,240,1,01-01-2024 21:43,115,7.77,Small
ORD008179,PROD9106,Chennai,440,2,01-01-2024 21:49,30,7.36,Small
ORD012843,PROD7881,Chennai,112,15,01-01-2024 21:50,125,8.01,Medium
ORD007238,PROD3118,Kolkata,187,17,01-01-2024 21:57,157,2.29,Medium
ORD008992,PROD5509,Kolkata,71,8,01-01-2024 21:59,70,2.84,Medium
ORD011989,PROD9306,Delhi,117,3,01-01-2024 22:05,95,7.43,Large
ORD002636,PROD4043,Mumbai,227,12,01-01-2024 22:06,117,5.45,Small
ORD013155,PROD4909,Bangalore,393,7,01-01-2024 22:08,99,7.79,Small
ORD009297,PROD6426,Delhi,8,6,01-01-2024 22:13,71,1.93,Large
ORD007220,PROD5657,Bangalore,292,11,01-01-2024 22:15,32,5.83,Medium
ORD014606,PROD7918,Hyderabad,432,18,01-01-2024 22:16,19,5.11,Small
ORD009012,PROD3051,Kolkata,214,17,01-01-2024 22:17,183,6.44,Small
ORD004515,PROD4965,Hyderabad,167,19,01-01-2024 22:51,84,5.52,Medium
ORD002268,PROD5836,Hyderabad,205,17,01-01-2024 23:20,10,5.38,Large
ORD008696,PROD7515,Hyderabad,125,11,01-01-2024 23:21,148,7.95,Small
ORD000911,PROD1251,Kolkata,302,12,01-01-2024 23:33,174,1.11,Medium
ORD001769,PROD8202,Kolkata,19,12,01-01-2024 23:35,181,6.39,Medium
ORD012698,PROD2114,Kolkata,422,2,02-01-2024 00:02,171,6.09,Small
ORD007304,PROD5073,Delhi,161,7,02-01-2024 00:06,173,7.45,Medium
ORD007534,PROD1487,Hyderabad,140,10,02-01-2024 00:06,83,8.44,Large
ORD013596,PROD3338,Hyderabad,317,16,02-01-2024 00:09,115,9.63,Small
ORD010198,PROD2992,Mumbai,173,5,02-01-2024 00:37,122,4.08,Medium
ORD000141,PROD6947,Bangalore,498,6,02-01-2024 00:37,101,3.05,Medium
ORD002635,PROD7931,Chennai,353,19,02-01-2024 00:44,95,4.81,Medium
ORD006278,PROD7274,Chennai,288,3,02-01-2024 00:50,189,3.59,Large
ORD009674,PROD5028,Mumbai,298,16,02-01-2024 01:08,168,6.53,Medium
ORD010647,PROD4585,Bangalore,3,10,02-01-2024 01:09,94,9.78,Large
ORD014815,PROD3087,Chennai,32,9,02-01-2024 01:14,110,5.42,Small
ORD002489,PROD6339,Delhi,309,17,02-01-2024 01:37,29,7.51,Small
ORD009731,PROD7823,Bangalore,295,6,02-01-2024 01:47,163,8.39,Small
ORD005036,PROD2562,Bangalore,53,14,02-01-2024 01:56,106,7.47,Large
ORD011603,PROD8409,Bangalore,257,2,02-01-2024 02:14,126,5.82,Large
ORD011440,PROD3918,Kolkata,412,9,02-01-2024 02:18,35,5.29,Medium
ORD005916,PROD2965,Hyderabad,318,19,02-01-2024 02:46,121,8.55,Large
ORD003308,PROD9043,Bangalore,78,19,02-01-2024 02:49,189,2.85,Medium
ORD002871,PROD1273,Hyderabad,101,9,02-01-2024 03:06,188,9.71,Large
ORD008375,PROD6681,Bangalore,46,8,02-01-2024 03:07,197,7.4,Small
ORD005644,PROD3087,Kolkata,432,4,02-01-2024 03:21,12,2.8,Large
ORD003153,PROD6224,Kolkata,290,4,02-01-2024 03:31,66,7.63,Small
ORD009865,PROD2428,Bangalore,468,19,02-01-2024 03:32,150,5.77,Small
ORD003261,PROD7783,Delhi,335,7,02-01-2024 03:37,63,7.37,Medium
ORD010953,PROD1579,Delhi,173,16,02-01-2024 03:50,49,7.91,Large
ORD014533,PROD4954,Delhi,175,14,02-01-2024 03:58,126,1.79,Small
ORD002117,PROD7698,Chennai,147,7,02-01-2024 04:24,46,5.55,Large
ORD010223,PROD8652,Kolkata,414,1,02-01-2024 04:29,189,9.39,Large
ORD002650,PROD8939,Delhi,130,18,02-01-2024 04:30,158,3.89,Small
ORD010222,PROD5822,Kolkata,238,15,02-01-2024 04:31,64,6.34,Medium
ORD001654,PROD3255,Mumbai,439,5,02-01-2024 04:33,166,4.32,Large
ORD000686,PROD5530,Delhi,475,13,02-01-2024 04:50,51,5.09,Medium
ORD007919,PROD3875,Chennai,385,4,02-01-2024 05:18,159,5.94,Large
ORD003363,PROD5896,Bangalore,251,18,02-01-2024 05:24,146,2.82,Large
ORD011676,PROD8134,Hyderabad,129,7,02-01-2024 05:45,193,7.16,Large
ORD002164,PROD1724,Mumbai,328,12,02-01-2024 05:50,170,2.25,Small
ORD010851,PROD2054,Delhi,2,13,02-01-2024 06:03,167,1.02,Large
ORD006824,PROD3781,Bangalore,418,7,02-01-2024 06:04,121,2.05,Large
ORD007698,PROD8883,Delhi,84,1,02-01-2024 06:05,72,5.26,Medium
ORD005594,PROD8268,Hyderabad,198,19,02-01-2024 06:07,66,6.45,Large
ORD001072,PROD5583,Hyderabad,312,12,02-01-2024 06:07,15,8.15,Large
ORD003203,PROD3420,Chennai,465,5,02-01-2024 06:12,173,1.96,Medium
ORD000692,PROD4727,Bangalore,395,16,02-01-2024 06:19,141,8.66,Medium
ORD008593,PROD3057,Chennai,140,6,02-01-2024 06:20,193,7.71,Medium
ORD002386,PROD8161,Kolkata,83,7,02-01-2024 06:34,173,4.68,Small
ORD009946,PROD3384,Bangalore,416,11,02-01-2024 06:42,196,9.4,Large
ORD001843,PROD2946,Kolkata,167,19,02-01-2024 06:42,139,9.92,Medium
ORD000331,PROD1158,Chennai,147,19,02-01-2024 06:43,32,4.41,Large
ORD012621,PROD7075,Bangalore,393,2,02-01-2024 06:48,179,9.34,Large
ORD003497,PROD1328,Kolkata,199,8,02-01-2024 07:13,96,7.49,Large
ORD001943,PROD6654,Kolkata,215,1,02-01-2024 07:15,46,1.43,Medium
ORD001064,PROD7078,Hyderabad,267,1,02-01-2024 07:16,160,8.03,Large
ORD001564,PROD1726,Kolkata,213,6,02-01-2024 07:36,134,8.45,Small
ORD011077,PROD1727,Hyderabad,215,18,02-01-2024 08:00,98,7.75,Medium
ORD004816,PROD8257,Hyderabad,353,11,02-01-2024 08:06,147,8.2,Large
ORD013582,PROD8683,Bangalore,245,6,02-01-2024 08:08,105,8.43,Medium
ORD014552,PROD7359,Kolkata,488,14,02-01-2024 08:08,54,2.68,Large
ORD005540,PROD6363,Mumbai,162,3,02-01-2024 08:09,197,3.12,Large
ORD000408,PROD6967,Delhi,160,19,02-01-2024 08:29,11,6.7,Small
ORD009427,PROD6618,Bangalore,197,9,02-01-2024 08:51,133,9.17,Small
ORD004396,PROD4764,Delhi,423,1,02-01-2024 09:02,21,3.85,Medium
ORD006159,PROD6340,Chennai,213,9,02-01-2024 09:44,96,6.29,Medium
ORD012411,PROD5333,Kolkata,151,1,02-01-2024 09:44,75,7.15,Large
ORD004098,PROD7473,Hyderabad,41,6,02-01-2024 09:45,15,5.07,Medium
ORD005940,PROD5230,Mumbai,176,12,02-01-2024 10:13,133,7.42,Medium
ORD013148,PROD9502,Mumbai,57,1,02-01-2024 10:17,11,9.1,Small
ORD008787,PROD7200,Hyderabad,74,16,02-01-2024 10:17,167,6.62,Medium
ORD004292,PROD3406,Mumbai,280,19,02-01-2024 10:18,44,5.86,Medium
ORD006882,PROD7788,Mumbai,394,18,02-01-2024 10:43,92,4.95,Medium
ORD001797,PROD5067,Delhi,13,16,02-01-2024 10:46,150,6.2,Small
ORD003877,PROD3018,Mumbai,312,3,02-01-2024 10:54,64,4.2,Large
ORD004249,PROD9465,Bangalore,293,16,02-01-2024 10:58,126,4.52,Medium
ORD001778,PROD6658,Bangalore,427,14,02-01-2024 10:58,47,5.79,Large
ORD001052,PROD3290,Chennai,347,5,02-01-2024 10:58,177,1.6,Medium
ORD003328,PROD8715,Chennai,42,17,02-01-2024 11:18,116,3.06,Medium
ORD007677,PROD7135,Hyderabad,494,9,02-01-2024 11:25,115,5.89,Large
ORD000133,PROD3646,Mumbai,8,19,02-01-2024 11:38,93,4.88,Medium
ORD002693,PROD2425,Mumbai,260,13,02-01-2024 11:50,70,4.0,Medium
ORD013021,PROD4192,Delhi,310,5,02-01-2024 12:16,105,7.57,Large
ORD012912,PROD7879,Kolkata,175,18,02-01-2024 12:27,62,7.24,Small
ORD002037,PROD8319,Kolkata,413,6,02-01-2024 12:36,58,2.5,Medium
ORD013506,PROD1732,Chennai,346,3,02-01-2024 12:44,86,8.91,Large
ORD005580,PROD2677,Chennai,67,1,02-01-2024 12:49,83,5.46,Medium
ORD011686,PROD4349,Delhi,388,19,02-01-2024 13:08,58,7.67,Small
ORD003162,PROD3615,Delhi,35,6,02-01-2024 13:12,86,6.16,Small
ORD013219,PROD6288,Mumbai,28,6,02-01-2024 13:13,97,9.98,Small
ORD002859,PROD9655,Chennai,72,1,02-01-2024 13:26,91,7.77,Medium
ORD005765,PROD4878,Delhi,250,6,02-01-2024 13:28,133,7.36,Large
ORD006401,PROD2990,Kolkata,180,14,02-01-2024 13:31,55,8.01,Large
ORD006090,PROD1256,Mumbai,313,16,02-01-2024 13:45,124,2.29,Small
ORD010261,PROD1490,Delhi,350,11,02-01-2024 13:52,15,2.84,Small
ORD004539,PROD7518,Bangalore,492,5,02-01-2024 14:10,76,7.43,Small
ORD012281,PROD4845,Kolkata,241,13,02-01-2024 14:15,38,5.45,Large
ORD005641,PROD3798,Bangalore,322,5,02-01-2024 14:33,43,7.79,Large
ORD009243,PROD6828,Hyderabad,227,18,02-01-2024 14:53,100,1.93,Large
ORD001054,PROD1609,Chennai,71,15,02-01-2024 15:37,142,5.83,Large
ORD010635,PROD3256,Chennai,133,9,02-01-2024 15:44,159,5.11,Large
ORD010423,PROD7317,Bangalore,390,15,02-01-2024 16:28,78,6.44,Medium
ORD011920,PROD9026,Bangalore,24,16,02-01-2024 16:32,39,5.52,Large
ORD004413,PROD2049,Kolkata,275,4,02-01-2024 16:42,116,5.38,Medium
ORD012923,PROD8802,Hyderabad,441,7,02-01-2024 16:45,188,7.95,Small
ORD006076,PROD2978,Chennai,46,12,02-01-2024 16:48,13,1.11,Small
ORD006725,PROD8938,Delhi,154,6,02-01-2024 16:49,83,6.39,Medium
ORD011630,PROD7747,Mumbai,282,5,02-01-2024 16:50,163,6.09,Small
ORD005123,PROD5713,Delhi,315,14,02-01-2024 16:50,96,7.45,Large
ORD007215,PROD5033,Mumbai,485,18,02-01-2024 17:00,63,8.44,Small
ORD001254,PROD6655,Chennai,66,14,02-01-2024 17:14,69,9.63,Large
ORD011399,PROD4644,Mumbai,103,3,02-01-2024 18:00,150,4.08,Large
ORD002522,PROD6890,Hyderabad,427,4,02-01-2024 18:10,58,3.05,Small
ORD003336,PROD7249,Mumbai,4,17,02-01-2024 18:18,105,4.81,Large
ORD004463,PROD3867,Mumbai,339,7,02-01-2024 18:32,30,3.59,Medium
ORD006384,PROD6187,Bangalore,424,6,02-01-2024 18:37,133,6.53,Large
ORD003274,PROD5831,Mumbai,205,18,02-01-2024 18:39,81,9.78,Medium
ORD007740,PROD5504,Chennai,282,13,02-01-2024 18:47,126,5.42,Medium
ORD010842,PROD9182,Delhi,392,6,02-01-2024 18:58,150,7.51,Medium
ORD010462,PROD8230,Delhi,195,15,02-01-2024 19:00,163,8.39,Large
ORD008640,PROD8431,Delhi,369,15,02-01-2024 19:12,105,7.47,Medium
ORD004880,PROD8168,Bangalore,428,8,02-01-2024 19:16,137,5.82,Small
ORD010731,PROD3535,Chennai,199,6,02-01-2024 19:27,148,5.29,Small
ORD001365,PROD4084,Chennai,385,14,02-01-2024 19:48,52,8.55,Small
ORD010729,PROD3234,Kolkata,161,12,02-01-2024 19:48,77,2.85,Large
ORD004634,PROD8322,Kolkata,363,16,02-01-2024 19:57,193,9.71,Medium
ORD012189,PROD2290,Delhi,371,2,02-01-2024 19:59,76,7.4,Medium
ORD012158,PROD5877,Bangalore,363,13,02-01-2024 20:04,18,2.8,Medium
ORD007722,PROD2450,Delhi,261,3,02-01-2024 20:16,140,7.63,Large
ORD001853,PROD7576,Hyderabad,468,17,02-01-2024 20:18,149,5.77,Medium
ORD009681,PROD9724,Chennai,120,2,02-01-2024 20:33,104,7.37,Small
ORD013904,PROD2998,Bangalore,434,15,02-01-2024 20:35,84,7.91,Medium
ORD005396,PROD6424,Chennai,276,16,02-01-2024 20:37,80,1.79,Medium
ORD012507,PROD5062,Delhi,414,9,02-01-2024 21:01,172,5.55,Medium
ORD010698,PROD9391,Delhi,102,15,02-01-2024 21:05,74,9.39,Medium
ORD005155,PROD2091,Kolkata,303,18,02-01-2024 21:28,134,3.89,Large
