order_id,product_id,warehouse_location,stock_availability,order_qty,timestamp,reorder_level,weights,size,product_category,seasonality_factor,day_of_week,holiday_event(yes/no),discount(%),customer_id,order_history,delivery_preference,locations,returns/refunds,weather_condition,temperature,traffic_level,fuel_price_index,economic_conditions,warehouse_id,warehouse_size
ORD001312,PROD6083,Mumbai,467,13,01-01-2024 01:56,196,7.4,Medium,Furniture,Peak,Monday,No,36,CUST48651,38,Standard,Suburban,No,Cloudy,21,Moderate,98.17,Stable,WAR0002,1500
ORD005919,PROD7159,Hyderabad,56,10,01-01-2024 02:00,115,2.8,Medium,Clothing,Off-Peak,Monday,No,17,CUST28706,45,Standard,Rural,No,Sunny,38,Low,91.24,Inflation,WAR0012,1500
ORD012306,PROD9775,Delhi,295,10,01-01-2024 02:08,120,7.63,Small,Clothing,Festival,Monday,No,6,CUST92447,12,Express,Urban,No,Sunny,17,High,109.67,Inflation,WAR0004,1500
ORD013047,PROD5561,Kolkata,284,2,01-01-2024 02:16,89,5.77,Small,Groceries,Off-Peak,Monday,No,37,CUST83549,44,Express,Rural,No,Rainy,25,Moderate,110.78,Recession,WAR0007,1500
ORD002713,PROD5380,Mumbai,349,9,01-01-2024 02:31,53,7.37,Small,Clothing,Festival,Monday,No,48,CUST20487,42,Standard,Suburban,No,Rainy,11,High,102.01,Inflation,WAR0001,1500
ORD009847,PROD8331,Bangalore,138,6,01-01-2024 02:35,130,7.91,Medium,Furniture,Peak,Monday,No,14,CUST52478,11,Standard,Urban,No,Rainy,30,High,114.57,Recession,WAR0002,1500
ORD005202,PROD2438,Kolkata,491,3,01-01-2024 02:44,48,1.79,Small,Electronics,Off-Peak,Monday,No,5,CUST50786,30,Standard,Urban,No,Rainy,10,High,109.15,Recession,WAR0005,1500
ORD011073,PROD1308,Mumbai,258,9,01-01-2024 02:45,155,5.55,Large,Clothing,Off-Peak,Monday,No,0,CUST22898,33,Same-Day,Rural,No,Stormy,11,Low,111.79,Stable,WAR0006,1500
ORD006962,PROD3003,Hyderabad,166,7,01-01-2024 02:47,132,9.39,Small,Groceries,Normal,Monday,No,36,CUST69326,19,Express,Urban,Yes,Cloudy,20,Low,116.26,Recession,WAR0009,1500
ORD002611,PROD6134,Hyderabad,304,6,01-01-2024 02:49,76,3.89,Small,Electronics,Festival,Monday,Yes,25,CUST81568,48,Same-Day,Suburban,No,Rainy,32,Moderate,115.1,Recession,WAR0002,1500
ORD014825,PROD5656,Kolkata,176,14,01-01-2024 03:05,24,6.34,Small,Furniture,Off-Peak,Monday,No,15,CUST40630,1,Standard,Urban,No,Stormy,15,Moderate,113.55,Recession,WAR0012,1500
ORD009649,PROD3435,Bangalore,355,14,01-01-2024 03:12,32,4.32,Small,Clothing,Off-Peak,Monday,No,24,CUST14331,27,Express,Urban,No,Stormy,11,Moderate,93.84,Recession,WAR0007,1500
ORD003861,PROD9067,Kolkata,48,8,01-01-2024 03:17,166,5.09,Medium,Groceries,Festival,Monday,No,48,CUST98104,11,Standard,Urban,No,Rainy,31,Moderate,117.88,Inflation,WAR0009,1500
ORD012149,PROD9892,Hyderabad,465,8,01-01-2024 03:32,56,5.94,Medium,Pharmaceuticals,Peak,Monday,No,37,CUST30491,8,Standard,Suburban,No,Stormy,14,Low,104.94,Inflation,WAR0008,1500
ORD009183,PROD3705,Delhi,335,1,01-01-2024 03:35,120,2.82,Small,Electronics,Festival,Monday,Yes,44,CUST41864,41,Express,Urban,Yes,Rainy,11,Moderate,103.31,Stable,WAR0002,1500
ORD004755,PROD4924,Hyderabad,161,3,01-01-2024 03:41,22,7.16,Large,Clothing,Festival,Monday,Yes,33,CUST53330,1,Same-Day,Urban,No,Rainy,34,High,104.98,Stable,WAR0002,1500
ORD011868,PROD1729,Delhi,296,3,01-01-2024 03:45,150,2.25,Medium,Pharmaceuticals,Normal,Monday,No,48,CUST96479,19,Standard,Suburban,No,Cloudy,31,Moderate,111.33,Recession,WAR0008,1500
ORD009862,PROD3336,Chennai,239,9,01-01-2024 03:54,163,1.02,Small,Groceries,Off-Peak,Monday,Yes,35,CUST10689,33,Express,Urban,No,Sunny,28,High,113.37,Recession,WAR0001,1500
ORD009585,PROD8279,Bangalore,100,1,01-01-2024 04:01,37,2.05,Small,Groceries,Peak,Monday,No,16,CUST41513,46,Standard,Suburban,No,Cloudy,23,Severe,90.13,Inflation,WAR0005,1500
ORD013207,PROD9146,Mumbai,27,4,01-01-2024 04:06,77,5.26,Medium,Groceries,Peak,Monday,No,27,CUST44673,35,Standard,Rural,Yes,Cloudy,23,Low,92.02,Stable,WAR0010,1500
ORD010069,PROD7891,Bangalore,444,19,01-01-2024 04:10,167,6.45,Small,Groceries,Festival,Monday,No,0,CUST94366,31,Express,Suburban,No,Stormy,33,High,109.71,Recession,WAR0008,1500
ORD012358,PROD1506,Mumbai,38,16,01-01-2024 04:24,55,8.15,Medium,Pharmaceuticals,Normal,Monday,No,25,CUST16470,14,Same-Day,Rural,No,Stormy,33,Moderate,97.44,Inflation,WAR0009,1500
ORD008021,PROD9474,Chennai,161,13,01-01-2024 04:34,40,1.96,Medium,Electronics,Peak,Monday,No,35,CUST25588,9,Express,Urban,No,Sunny,13,High,104.31,Stable,WAR0001,1500
ORD002381,PROD2284,Hyderabad,20,11,01-01-2024 04:41,75,8.66,Small,Pharmaceuticals,Normal,Monday,Yes,10,CUST82370,4,Same-Day,Rural,No,Cloudy,37,High,96.68,Recession,WAR0002,1500
ORD002099,PROD8575,Chennai,426,5,01-01-2024 04:45,47,7.71,Small,Furniture,Off-Peak,Monday,Yes,2,CUST91082,23,Standard,Suburban,No,Stormy,32,Moderate,114.5,Inflation,WAR0012,1500
ORD011085,PROD5999,Hyderabad,23,3,01-01-2024 04:53,94,4.68,Large,Pharmaceuticals,Festival,Monday,Yes,31,CUST94449,29,Express,Suburban,No,Cloudy,21,Severe,104.96,Stable,WAR0007,1500
ORD013921,PROD4156,Chennai,325,7,01-01-2024 04:56,29,9.4,Medium,Pharmaceuticals,Off-Peak,Monday,No,24,CUST40135,42,Same-Day,Suburban,No,Cloudy,14,Severe,107.15,Stable,WAR0007,1500
ORD007312,PROD2763,Bangalore,86,5,01-01-2024 04:58,188,9.92,Large,Furniture,Normal,Monday,Yes,2,CUST55710,11,Express,Suburban,No,Cloudy,10,Low,112.12,Stable,WAR0010,1500
ORD004243,PROD9918,Delhi,190,15,01-01-2024 05:13,100,4.41,Large,Groceries,Peak,Monday,No,38,CUST44360,34,Standard,Suburban,No,Sunny,15,High,110.13,Inflation,WAR0009,1500
ORD011409,PROD6157,Kolkata,254,11,01-01-2024 05:15,11,9.34,Small,Groceries,Peak,Monday,Yes,44,CUST56925,38,Standard,Urban,No,Sunny,23,High,90.15,Recession,WAR0010,1500
ORD010406,PROD7308,Chennai,353,13,01-01-2024 05:31,155,7.49,Small,Electronics,Festival,Monday,Yes,48,CUST53885,39,Standard,Rural,No,Rainy,25,Moderate,111.19,Recession,WAR0009,1500
ORD010627,PROD9001,Kolkata,375,2,01-01-2024 05:56,46,1.43,Large,Pharmaceuticals,Off-Peak,Monday,No,36,CUST54527,14,Same-Day,Suburban,No,Sunny,23,Low,100.9,Recession,WAR0008,1500
ORD006211,PROD4546,Mumbai,343,12,01-01-2024 06:03,111,8.03,Large,Furniture,Peak,Monday,No,44,CUST76523,18,Express,Rural,No,Cloudy,37,Severe,100.95,Inflation,WAR0005,1500
ORD004754,PROD7917,Delhi,396,4,01-01-2024 06:16,116,8.45,Large,Furniture,Peak,Monday,Yes,49,CUST22253,45,Same-Day,Rural,Yes,Stormy,10,Severe,101.76,Inflation,WAR0006,1500
ORD000469,PROD3881,Bangalore,496,15,01-01-2024 06:35,171,7.75,Large,Electronics,Normal,Monday,No,8,CUST92021,9,Standard,Suburban,No,Cloudy,37,Moderate,95.36,Stable,WAR0001,1500
ORD010118,PROD4784,Mumbai,105,15,01-01-2024 06:35,100,8.2,Large,Groceries,Peak,Monday,No,3,CUST56834,18,Standard,Rural,No,Stormy,29,Severe,105.37,Stable,WAR0010,1500
ORD010088,PROD5333,Mumbai,67,10,01-01-2024 06:46,160,8.43,Small,Electronics,Festival,Monday,No,32,CUST23730,46,Express,Suburban,No,Rainy,29,High,110.62,Recession,WAR0010,1500
ORD006921,PROD3456,Mumbai,452,13,01-01-2024 06:58,194,2.68,Large,Groceries,Normal,Monday,No,32,CUST22185,49,Express,Rural,No,Sunny,12,Severe,100.18,Stable,WAR0001,1500
ORD014484,PROD4392,Kolkata,265,8,01-01-2024 06:58,38,3.12,Small,Pharmaceuticals,Festival,Monday,Yes,34,CUST37640,25,Express,Rural,No,Sunny,38,Severe,95.41,Recession,WAR0011,1500
ORD010750,PROD8271,Hyderabad,38,17,01-01-2024 06:59,78,6.7,Small,Groceries,Peak,Monday,No,19,CUST99915,4,Express,Rural,No,Rainy,24,Low,114.1,Stable,WAR0002,1500
ORD001099,PROD4394,Hyderabad,481,6,01-01-2024 07:01,158,9.17,Small,Clothing,Peak,Monday,No,35,CUST78454,11,Same-Day,Urban,No,Sunny,26,Moderate,119.57,Inflation,WAR0007,1500
ORD006871,PROD7997,Kolkata,83,7,01-01-2024 07:07,69,3.85,Medium,Groceries,Festival,Monday,No,32,CUST49080,37,Express,Rural,No,Cloudy,32,Low,101.63,Inflation,WAR0012,1500
ORD011593,PROD9736,Hyderabad,41,16,01-01-2024 07:18,13,6.29,Medium,Electronics,Normal,Monday,No,47,CUST13626,27,Standard,Urban,No,Cloudy,14,High,111.48,Recession,WAR0007,1500
ORD006747,PROD5960,Hyderabad,259,9,01-01-2024 07:28,31,7.15,Small,Furniture,Festival,Monday,No,43,CUST31382,7,Standard,Suburban,No,Cloudy,22,Severe,104.11,Inflation,WAR0007,1500
ORD013721,PROD7436,Bangalore,104,16,01-01-2024 07:38,163,5.07,Large,Pharmaceuticals,Peak,Monday,No,48,CUST17232,31,Same-Day,Rural,No,Rainy,39,Severe,108.0,Inflation,WAR0002,1500
ORD007866,PROD1260,Kolkata,489,18,01-01-2024 07:40,101,7.42,Small,Clothing,Normal,Monday,No,11,CUST41575,33,Express,Suburban,No,Sunny,39,High,97.18,Stable,WAR0006,1500
ORD009647,PROD2251,Hyderabad,45,3,01-01-2024 07:53,32,9.1,Medium,Groceries,Normal,Monday,Yes,44,CUST99494,37,Standard,Urban,Yes,Rainy,18,Moderate,90.26,Recession,WAR0008,1500
ORD006613,PROD4217,Hyderabad,412,15,01-01-2024 07:53,131,6.62,Small,Furniture,Normal,Monday,No,26,CUST55476,27,Same-Day,Rural,No,Stormy,17,Low,100.35,Stable,WAR0002,1500
ORD006561,PROD1211,Bangalore,172,2,01-01-2024 08:18,137,5.86,Large,Clothing,Normal,Monday,No,17,CUST37073,39,Express,Urban,Yes,Stormy,21,Low,117.01,Inflation,WAR0003,1500
ORD007474,PROD8968,Delhi,162,14,01-01-2024 08:23,55,4.95,Small,Electronics,Festival,Monday,Yes,13,CUST89127,44,Standard,Rural,No,Cloudy,27,Low,116.7,Recession,WAR0012,1500
ORD005451,PROD2932,Kolkata,373,11,01-01-2024 08:27,69,6.2,Small,Electronics,Normal,Monday,Yes,18,CUST51386,17,Standard,Suburban,No,Stormy,28,Low,101.05,Inflation,WAR0002,1500
ORD014816,PROD2571,Delhi,0,5,01-01-2024 08:29,98,4.2,Medium,Clothing,Normal,Monday,No,46,CUST57675,42,Express,Rural,No,Sunny,39,Low,101.35,Stable,WAR0003,1500
ORD002875,PROD4534,Hyderabad,81,1,01-01-2024 08:48,44,4.52,Medium,Groceries,Festival,Monday,Yes,9,CUST36991,17,Same-Day,Urban,No,Sunny,18,High,105.37,Inflation,WAR0005,1500
ORD007137,PROD5155,Chennai,52,8,01-01-2024 08:51,101,5.79,Small,Furniture,Normal,Monday,No,31,CUST27490,1,Express,Rural,No,Stormy,38,Low,112.52,Recession,WAR0007,1500
ORD009269,PROD5098,Hyderabad,406,3,01-01-2024 08:52,61,1.6,Medium,Groceries,Peak,Monday,No,46,CUST26880,38,Standard,Urban,No,Rainy,18,Low,104.02,Recession,WAR0002,1500
ORD006317,PROD4085,Hyderabad,194,5,01-01-2024 08:54,94,3.06,Large,Furniture,Festival,Monday,No,19,CUST70817,4,Same-Day,Suburban,No,Sunny,15,Severe,101.8,Inflation,WAR0003,1500
ORD003630,PROD5076,Chennai,85,1,01-01-2024 09:13,133,5.89,Small,Electronics,Normal,Monday,No,26,CUST92195,28,Same-Day,Rural,No,Rainy,28,High,92.01,Stable,WAR0012,1500
ORD000905,PROD6439,Bangalore,57,7,01-01-2024 09:18,26,4.88,Small,Electronics,Peak,Monday,No,18,CUST53488,16,Standard,Urban,No,Cloudy,21,Moderate,109.63,Stable,WAR0012,1500
ORD005460,PROD4296,Chennai,124,19,01-01-2024 09:18,98,4.0,Small,Electronics,Festival,Monday,No,19,CUST91248,9,Same-Day,Suburban,No,Cloudy,37,Severe,94.81,Inflation,WAR0006,1500
ORD007010,PROD2478,Kolkata,38,15,01-01-2024 09:20,82,7.57,Small,Electronics,Normal,Monday,Yes,31,CUST33097,46,Express,Rural,No,Rainy,19,Severe,90.56,Recession,WAR0005,1500
ORD006500,PROD4678,Bangalore,400,3,01-01-2024 09:21,184,7.24,Small,Electronics,Normal,Monday,No,38,CUST34307,49,Standard,Urban,No,Cloudy,31,Moderate,111.03,Inflation,WAR0001,1500
ORD009117,PROD6944,Chennai,26,2,01-01-2024 09:43,72,2.5,Medium,Pharmaceuticals,Off-Peak,Monday,No,48,CUST78418,27,Express,Urban,No,Sunny,22,Low,104.54,Inflation,WAR0007,1500
ORD008063,PROD6633,Mumbai,399,2,01-01-2024 09:44,37,8.91,Large,Pharmaceuticals,Normal,Monday,Yes,27,CUST49702,24,Standard,Urban,No,Stormy,37,Low,96.61,Inflation,WAR0003,1500
ORD002291,PROD1554,Hyderabad,466,19,01-01-2024 09:45,190,5.46,Medium,Furniture,Off-Peak,Monday,No,35,CUST50486,24,Express,Urban,No,Cloudy,26,High,91.19,Stable,WAR0003,1500
ORD001214,PROD1474,Delhi,364,4,01-01-2024 09:51,142,7.67,Large,Clothing,Off-Peak,Monday,No,9,CUST25521,41,Express,Suburban,No,Cloudy,30,Low,118.05,Stable,WAR0009,1500
ORD009054,PROD1756,Bangalore,190,14,01-01-2024 10:07,114,6.16,Large,Clothing,Peak,Monday,No,46,CUST29533,11,Same-Day,Suburban,No,Rainy,36,Moderate,90.83,Stable,WAR0002,1500
ORD006639,PROD4962,Bangalore,364,4,01-01-2024 10:25,104,9.98,Large,Furniture,Off-Peak,Monday,No,19,CUST11848,27,Same-Day,Suburban,No,Stormy,20,High,92.78,Inflation,WAR0006,1500
ORD004708,PROD8126,Kolkata,153,17,01-01-2024 10:26,120,7.77,Large,Clothing,Festival,Monday,No,4,CUST52287,2,Same-Day,Suburban,No,Cloudy,36,Moderate,106.94,Inflation,WAR0010,1500
ORD012024,PROD8152,Chennai,475,14,01-01-2024 10:36,22,7.36,Small,Clothing,Normal,Monday,No,14,CUST69321,21,Standard,Urban,No,Cloudy,17,Moderate,104.56,Stable,WAR0005,1500
ORD006532,PROD8553,Chennai,203,18,01-01-2024 10:44,130,8.01,Small,Groceries,Normal,Monday,Yes,27,CUST37059,16,Standard,Rural,No,Sunny,30,Severe,90.25,Inflation,WAR0003,1500
ORD004392,PROD6641,Chennai,7,17,01-01-2024 10:47,73,2.29,Small,Groceries,Festival,Monday,No,36,CUST21950,4,Express,Rural,No,Rainy,23,Moderate,113.01,Recession,WAR0012,1500
ORD005870,PROD1194,Kolkata,388,19,01-01-2024 10:57,130,2.84,Small,Clothing,Normal,Monday,Yes,22,CUST86967,21,Standard,Urban,No,Rainy,11,High,111.87,Recession,WAR0005,1500
ORD002238,PROD8846,Hyderabad,362,4,01-01-2024 10:58,34,7.43,Small,Clothing,Peak,Monday,No,45,CUST58907,43,Standard,Suburban,No,Cloudy,36,Low,106.71,Recession,WAR0002,1500
ORD005864,PROD7390,Kolkata,480,12,01-01-2024 11:07,135,5.45,Medium,Groceries,Normal,Monday,No,44,CUST82118,26,Express,Suburban,No,Sunny,35,Low,119.72,Inflation,WAR0006,1500
ORD000982,PROD7248,Hyderabad,255,17,01-01-2024 11:14,65,7.79,Small,Clothing,Off-Peak,Monday,No,24,CUST21370,47,Same-Day,Urban,No,Sunny,19,Moderate,92.26,Inflation,WAR0005,1500
ORD004534,PROD5501,Bangalore,152,14,01-01-2024 11:25,127,1.93,Medium,Furniture,Festival,Monday,No,14,CUST97815,10,Standard,Rural,No,Sunny,22,Moderate,90.91,Inflation,WAR0011,1500
ORD001389,PROD6543,Bangalore,333,11,01-01-2024 11:57,156,5.83,Medium,Furniture,Off-Peak,Monday,No,5,CUST69219,44,Express,Rural,No,Sunny,26,High,97.7,Recession,WAR0002,1500
ORD001346,PROD5500,Chennai,89,17,01-01-2024 12:02,164,5.11,Medium,Pharmaceuticals,Peak,Monday,No,24,CUST26539,37,Express,Suburban,No,Rainy,15,Severe,94.75,Recession,WAR0009,1500
ORD014238,PROD9064,Mumbai,159,19,01-01-2024 12:04,57,6.44,Small,Groceries,Festival,Monday,No,30,CUST44284,23,Express,Rural,No,Rainy,34,Severe,109.52,Stable,WAR0009,1500
ORD000611,PROD7882,Kolkata,238,1,01-01-2024 12:25,177,5.52,Large,Groceries,Normal,Monday,No,33,CUST67959,45,Express,Urban,No,Stormy,22,Moderate,109.23,Recession,WAR0005,1500
ORD007055,PROD8837,Hyderabad,344,2,01-01-2024 12:34,150,5.38,Medium,Groceries,Normal,Monday,Yes,2,CUST58890,40,Express,Rural,No,Cloudy,39,Moderate,106.82,Stable,WAR0009,1500
ORD002798,PROD1152,Chennai,233,3,01-01-2024 12:40,193,7.95,Small,Pharmaceuticals,Festival,Monday,No,10,CUST75477,41,Standard,Rural,No,Stormy,28,Low,114.92,Inflation,WAR0012,1500
ORD005301,PROD9456,Kolkata,263,3,01-01-2024 13:04,53,1.11,Medium,Groceries,Festival,Monday,No,10,CUST53144,32,Standard,Suburban,No,Cloudy,30,Low,106.28,Stable,WAR0006,1500
ORD002323,PROD2578,Mumbai,119,14,01-01-2024 13:04,160,6.39,Small,Clothing,Peak,Monday,No,19,CUST76982,1,Same-Day,Suburban,No,Rainy,17,High,117.96,Recession,WAR0005,1500
ORD013626,PROD2136,Mumbai,45,7,01-01-2024 13:08,187,6.09,Large,Groceries,Festival,Monday,No,1,CUST47765,23,Same-Day,Suburban,No,Sunny,18,High,95.21,Stable,WAR0002,1500
ORD004689,PROD8260,Mumbai,115,19,01-01-2024 13:10,28,7.45,Medium,Groceries,Festival,Monday,No,18,CUST19810,21,Standard,Suburban,No,Rainy,13,Severe,105.24,Stable,WAR0003,1500
ORD005447,PROD1025,Delhi,18,6,01-01-2024 13:24,170,8.44,Large,Groceries,Normal,Monday,Yes,37,CUST32423,9,Express,Urban,No,Rainy,37,Low,114.53,Inflation,WAR0003,1500
ORD005929,PROD7995,Delhi,324,14,01-01-2024 13:33,102,9.63,Large,Groceries,Festival,Monday,No,47,CUST26261,40,Express,Suburban,Yes,Stormy,38,High,100.65,Stable,WAR0002,1500
ORD008794,PROD7583,Bangalore,224,19,01-01-2024 13:38,112,4.08,Large,Groceries,Festival,Monday,No,12,CUST41215,39,Express,Urban,No,Stormy,12,Severe,105.56,Inflation,WAR0006,1500
ORD014466,PROD9265,Kolkata,422,7,01-01-2024 13:40,186,3.05,Large,Electronics,Off-Peak,Monday,No,2,CUST54979,4,Standard,Urban,No,Stormy,37,Severe,104.52,Recession,WAR0011,1500
ORD008516,PROD2103,Bangalore,366,7,01-01-2024 13:46,133,4.81,Small,Furniture,Festival,Monday,Yes,16,CUST61986,43,Standard,Urban,No,Cloudy,10,Severe,102.26,Recession,WAR0005,1500
ORD006178,PROD3374,Kolkata,37,15,01-01-2024 14:06,147,3.59,Large,Electronics,Peak,Monday,Yes,17,CUST75146,29,Standard,Rural,No,Sunny,36,Severe,102.63,Recession,WAR0001,1500
ORD003766,PROD3611,Delhi,387,10,01-01-2024 14:07,137,6.53,Medium,Clothing,Peak,Monday,No,7,CUST18754,18,Same-Day,Suburban,No,Sunny,10,Low,109.72,Inflation,WAR0001,1500
ORD007728,PROD4152,Delhi,303,17,01-01-2024 14:09,65,9.78,Small,Groceries,Peak,Monday,No,13,CUST96085,26,Express,Urban,No,Sunny,26,High,98.5,Stable,WAR0011,1500
ORD005365,PROD4323,Hyderabad,174,1,01-01-2024 14:24,44,5.42,Medium,Electronics,Festival,Monday,No,11,CUST42212,6,Express,Urban,No,Rainy,32,Severe,107.69,Stable,WAR0008,1500
ORD012386,PROD1388,Bangalore,439,8,01-01-2024 14:36,88,7.51,Medium,Clothing,Festival,Monday,No,3,CUST42617,7,Same-Day,Urban,No,Rainy,32,Moderate,114.25,Recession,WAR0004,1500
ORD013658,PROD1324,Chennai,110,18,01-01-2024 14:52,20,8.39,Large,Groceries,Normal,Monday,No,14,CUST23955,20,Express,Rural,No,Stormy,29,Severe,115.88,Inflation,WAR0007,1500
ORD013188,PROD3631,Mumbai,187,8,01-01-2024 14:57,12,7.47,Medium,Furniture,Normal,Monday,Yes,20,CUST38448,5,Standard,Rural,No,Rainy,20,Moderate,108.14,Inflation,WAR0011,1500
ORD007613,PROD5902,Delhi,228,12,01-01-2024 15:00,136,5.82,Large,Electronics,Off-Peak,Monday,No,47,CUST75125,47,Express,Rural,No,Sunny,34,Severe,106.84,Stable,WAR0006,1500
ORD009538,PROD9125,Bangalore,73,8,01-01-2024 15:03,91,5.29,Medium,Furniture,Off-Peak,Monday,No,31,CUST55734,48,Express,Urban,No,Cloudy,28,High,117.59,Recession,WAR0011,1500
ORD014177,PROD6351,Mumbai,204,16,01-01-2024 15:06,33,8.55,Medium,Furniture,Off-Peak,Monday,No,6,CUST66567,25,Standard,Rural,No,Stormy,24,Low,107.53,Stable,WAR0007,1500
ORD005499,PROD3446,Chennai,254,1,01-01-2024 15:16,94,2.85,Medium,Clothing,Normal,Monday,No,7,CUST32598,37,Express,Urban,Yes,Stormy,20,High,113.18,Recession,WAR0011,1500
ORD006266,PROD5859,Mumbai,400,16,01-01-2024 15:19,138,9.71,Small,Groceries,Peak,Monday,Yes,17,CUST71297,24,Standard,Rural,No,Stormy,23,Severe,92.07,Inflation,WAR0007,1500
ORD004352,PROD7971,Chennai,124,4,01-01-2024 15:21,24,7.4,Large,Pharmaceuticals,Normal,Monday,No,3,CUST57084,44,Standard,Suburban,No,Stormy,19,High,96.23,Stable,WAR0001,1500
ORD002118,PROD3948,Chennai,348,16,01-01-2024 15:28,134,2.8,Small,Clothing,Peak,Monday,Yes,23,CUST90855,23,Standard,Rural,No,Stormy,32,High,92.38,Recession,WAR0003,1500
ORD014145,PROD7039,Kolkata,446,2,01-01-2024 15:29,115,7.63,Large,Pharmaceuticals,Festival,Monday,Yes,29,CUST59345,39,Same-Day,Suburban,No,Sunny,15,Moderate,94.62,Stable,WAR0012,1500
ORD005820,PROD5552,Kolkata,192,1,01-01-2024 15:38,148,5.77,Small,Pharmaceuticals,Peak,Monday,No,15,CUST40309,9,Standard,Rural,No,Rainy,26,Moderate,103.58,Inflation,WAR0011,1500
ORD006850,PROD5907,Chennai,349,1,01-01-2024 15:44,167,7.37,Medium,Clothing,Normal,Monday,No,25,CUST54325,48,Standard,Urban,No,Rainy,22,Severe,107.02,Recession,WAR0006,1500
ORD000295,PROD7054,Kolkata,197,1,01-01-2024 15:46,28,7.91,Large,Groceries,Festival,Monday,Yes,30,CUST56165,36,Standard,Suburban,No,Sunny,25,Low,108.24,Inflation,WAR0005,1500
ORD012474,PROD7223,Chennai,493,9,01-01-2024 15:49,76,1.79,Small,Electronics,Peak,Monday,Yes,30,CUST37619,32,Express,Urban,No,Rainy,23,Moderate,97.3,Stable,WAR0012,1500
ORD006623,PROD5942,Delhi,181,8,01-01-2024 15:54,114,5.55,Medium,Furniture,Festival,Monday,Yes,11,CUST20396,9,Express,Suburban,No,Stormy,38,Moderate,113.56,Stable,WAR0002,1500
ORD004101,PROD3561,Kolkata,453,10,01-01-2024 15:58,62,9.39,Small,Groceries,Normal,Monday,No,12,CUST49443,1,Standard,Urban,No,Cloudy,35,Severe,92.79,Inflation,WAR0012,1500
ORD010896,PROD9205,Hyderabad,264,4,01-01-2024 16:17,67,3.89,Large,Pharmaceuticals,Festival,Monday,Yes,49,CUST60550,12,Same-Day,Suburban,No,Sunny,23,Moderate,101.28,Stable,WAR0010,1500
ORD009849,PROD6554,Kolkata,308,5,01-01-2024 16:31,44,6.34,Small,Pharmaceuticals,Festival,Monday,Yes,38,CUST56323,11,Standard,Urban,No,Rainy,14,Low,106.38,Recession,WAR0006,1500
ORD013526,PROD3900,Kolkata,475,7,01-01-2024 16:34,193,4.32,Medium,Electronics,Peak,Monday,No,11,CUST70416,1,Express,Suburban,No,Rainy,17,High,98.85,Inflation,WAR0004,1500
ORD014670,PROD8826,Bangalore,81,6,01-01-2024 16:42,34,5.09,Medium,Pharmaceuticals,Off-Peak,Monday,No,43,CUST40530,49,Express,Suburban,No,Rainy,16,High,117.73,Stable,WAR0009,1500
ORD007776,PROD3973,Mumbai,269,6,01-01-2024 16:44,95,5.94,Small,Pharmaceuticals,Normal,Monday,No,47,CUST57356,40,Standard,Suburban,No,Sunny,16,High,106.25,Stable,WAR0002,1500
