order_id,product_id,weather_condition,temperature,traffic_level,fuel_price_index,economic_conditions
ORD011593,PROD9736,Cloudy,14,High,111.48,Recession
ORD006747,PROD5960,Cloudy,22,Severe,104.11,Inflation
ORD013721,PROD7436,Rainy,39,Severe,108.0,Inflation
ORD007866,PROD1260,Sunny,39,High,97.18,Stable
ORD009647,PROD2251,Rainy,18,Moderate,90.26,Recession
ORD006613,PROD4217,Stormy,17,Low,100.35,Stable
ORD006561,PROD1211,Stormy,21,Low,117.01,Inflation
ORD007474,PROD8968,Cloudy,27,Low,116.7,Recession
ORD005451,PROD2932,Stormy,28,Low,101.05,Inflation
ORD014816,PROD2571,Sunny,39,Low,101.35,Stable
ORD002875,PROD4534,Sunny,18,High,105.37,Inflation
ORD007137,PROD5155,Stormy,38,Low,112.52,Recession
ORD009269,PROD5098,Rainy,18,Low,104.02,Recession
ORD006317,PROD4085,Sunny,15,Severe,101.8,Inflation
ORD003630,PROD5076,Rainy,28,High,92.01,Stable
ORD000905,PROD6439,Cloudy,21,Moderate,109.63,Stable
ORD005460,PROD4296,Cloudy,37,Severe,94.81,Inflation
ORD007010,PROD2478,Rainy,19,Severe,90.56,Recession
ORD006500,PROD4678,Cloudy,31,Moderate,111.03,Inflation
ORD009117,PROD6944,Sunny,22,Low,104.54,Inflation
ORD008063,PROD6633,Stormy,37,Low,96.61,Inflation
ORD002291,PROD1554,Cloudy,26,High,91.19,Stable
ORD001214,PROD1474,Cloudy,30,Low,118.05,Stable
ORD009054,PROD1756,Rainy,36,Moderate,90.83,Stable
ORD006639,PROD4962,Stormy,20,High,92.78,Inflation
ORD004708,PROD8126,Cloudy,36,Moderate,106.94,Inflation
ORD012024,PROD8152,Cloudy,17,Moderate,104.56,Stable
ORD006532,PROD8553,Sunny,30,Severe,90.25,Inflation
ORD004392,PROD6641,Rainy,23,Moderate,113.01,Recession
ORD005870,PROD1194,Rainy,11,High,111.87,Recession
ORD002238,PROD8846,Cloudy,36,Low,106.71,Recession
ORD005864,PROD7390,Sunny,35,Low,119.72,Inflation
ORD000982,PROD7248,Sunny,19,Moderate,92.26,Inflation
ORD004534,PROD5501,Sunny,22,Moderate,90.91,Inflation
ORD001389,PROD6543,Sunny,26,High,97.7,Recession
ORD001346,PROD5500,Rainy,15,Severe,94.75,Recession
ORD014238,PROD9064,Rainy,34,Severe,109.52,Stable
ORD000611,PROD7882,Stormy,22,Moderate,109.23,Recession
ORD007055,PROD8837,Cloudy,39,Moderate,106.82,Stable
ORD002798,PROD1152,Stormy,28,Low,114.92,Inflation
ORD005301,PROD9456,Cloudy,30,Low,106.28,Stable
ORD002323,PROD2578,Rainy,17,High,117.96,Recession
ORD013626,PROD2136,Sunny,18,High,95.21,Stable
ORD004689,PROD8260,Rainy,13,Severe,105.24,Stable
ORD005447,PROD1025,Rainy,37,Low,114.53,Inflation
ORD005929,PROD7995,Stormy,38,High,100.65,Stable
ORD008794,PROD7583,Stormy,12,Severe,105.56,Inflation
ORD014466,PROD9265,Stormy,37,Severe,104.52,Recession
ORD008516,PROD2103,Cloudy,10,Severe,102.26,Recession
ORD006178,PROD3374,Sunny,36,Severe,102.63,Recession
ORD003766,PROD3611,Sunny,10,Low,109.72,Inflation
ORD007728,PROD4152,Sunny,26,High,98.5,Stable
ORD005365,PROD4323,Rainy,32,Severe,107.69,Stable
ORD012386,PROD1388,Rainy,32,Moderate,114.25,Recession
ORD013658,PROD1324,Stormy,29,Severe,115.88,Inflation
ORD013188,PROD3631,Rainy,20,Moderate,108.14,Inflation
ORD007613,PROD5902,Sunny,34,Severe,106.84,Stable
ORD009538,PROD9125,Cloudy,28,High,117.59,Recession
ORD014177,PROD6351,Stormy,24,Low,107.53,Stable
ORD005499,PROD3446,Stormy,20,High,113.18,Recession
ORD006266,PROD5859,Stormy,23,Severe,92.07,Inflation
ORD004352,PROD7971,Stormy,19,High,96.23,Stable
ORD002118,PROD3948,Stormy,32,High,92.38,Recession
ORD014145,PROD7039,Sunny,15,Moderate,94.62,Stable
ORD005820,PROD5552,Rainy,26,Moderate,103.58,Inflation
ORD006850,PROD5907,Rainy,22,Severe,107.02,Recession
ORD000295,PROD7054,Sunny,25,Low,108.24,Inflation
ORD012474,PROD7223,Rainy,23,Moderate,97.3,Stable
ORD006623,PROD5942,Stormy,38,Moderate,113.56,Stable
ORD004101,PROD3561,Cloudy,35,Severe,92.79,Inflation
ORD010896,PROD9205,Sunny,23,Moderate,101.28,Stable
ORD009849,PROD6554,Rainy,14,Low,106.38,Recession
ORD013526,PROD3900,Rainy,17,High,98.85,Inflation
ORD014670,PROD8826,Rainy,16,High,117.73,Stable
ORD007776,PROD3973,Sunny,16,High,106.25,Stable
ORD007927,PROD5494,Rainy,25,Moderate,109.48,Inflation
ORD013218,PROD3761,Stormy,37,Moderate,113.65,Stable
ORD014857,PROD2759,Sunny,19,Severe,113.7,Inflation
ORD005476,PROD6415,Stormy,21,Low,110.99,Stable
ORD008691,PROD3644,Rainy,26,Low,115.43,Inflation
ORD014903,PROD4782,Cloudy,13,Moderate,98.65,Inflation
ORD003513,PROD8646,Sunny,17,Severe,98.28,Recession
ORD011860,PROD2064,Stormy,22,Severe,97.51,Recession
ORD002706,PROD9720,Stormy,16,Severe,119.25,Inflation
ORD011344,PROD4451,Stormy,29,Severe,98.46,Inflation
ORD008889,PROD6237,Sunny,22,Low,112.17,Inflation
ORD010099,PROD9502,Stormy,22,High,114.68,Recession
ORD004831,PROD3001,Cloudy,18,Severe,94.91,Stable
ORD010110,PROD3111,Sunny,26,Low,112.8,Inflation
ORD002172,PROD9255,Sunny,18,High,102.21,Inflation
ORD008223,PROD5351,Rainy,31,Severe,98.26,Recession
ORD000154,PROD3705,Stormy,39,Low,102.11,Stable
ORD005572,PROD2927,Sunny,39,Low,116.85,Inflation
ORD007046,PROD2347,Stormy,36,Moderate,99.79,Inflation
ORD007386,PROD8295,Stormy,15,High,118.5,Stable
ORD002237,PROD2922,Cloudy,15,High,119.92,Inflation
ORD002623,PROD2931,Stormy,24,Severe,110.39,Recession
ORD011160,PROD1630,Stormy,37,Low,106.85,Stable
ORD001483,PROD8391,Stormy,31,Moderate,114.71,Recession
ORD005092,PROD4970,Stormy,23,Low,116.72,Recession
ORD005896,PROD1173,Stormy,27,Moderate,95.42,Inflation
ORD012515,PROD1659,Rainy,32,High,117.73,Recession
ORD008643,PROD8878,Rainy,15,Severe,114.49,Recession
ORD013830,PROD6983,Stormy,29,Moderate,99.14,Recession
ORD002162,PROD1797,Cloudy,27,High,118.61,Inflation
ORD011885,PROD2483,Stormy,27,Low,93.3,Stable
ORD004931,PROD4139,Sunny,34,Severe,96.72,Stable
ORD002616,PROD6766,Stormy,20,Severe,97.01,Inflation
ORD004639,PROD3373,Stormy,38,High,111.04,Stable
ORD006501,PROD1439,Stormy,17,Moderate,103.66,Stable
ORD005705,PROD2462,Rainy,25,Severe,93.11,Inflation
ORD014920,PROD2465,Rainy,31,High,112.01,Inflation
ORD011672,PROD7543,Cloudy,11,Severe,119.7,Stable
ORD005685,PROD9098,Cloudy,11,High,117.59,Inflation
ORD005902,PROD9605,Cloudy,21,High,100.68,Recession
ORD012564,PROD5909,Cloudy,21,Low,97.28,Stable
ORD013911,PROD2500,Sunny,39,Low,94.14,Stable
ORD006502,PROD1040,Sunny,18,Moderate,94.67,Inflation
ORD014754,PROD6922,Sunny,29,Low,116.61,Inflation
ORD010974,PROD1431,Rainy,32,Low,114.51,Stable
ORD008954,PROD8239,Sunny,38,High,118.2,Stable
ORD007797,PROD2885,Stormy,20,Severe,102.63,Stable
ORD011021,PROD3005,Stormy,35,High,116.37,Inflation
ORD004749,PROD7385,Cloudy,19,Severe,100.43,Recession
ORD000837,PROD5375,Rainy,32,High,93.08,Inflation
ORD013481,PROD1903,Cloudy,22,Low,92.47,Recession
ORD006174,PROD8716,Cloudy,36,Moderate,114.35,Stable
ORD002561,PROD9537,Stormy,13,Severe,93.34,Recession
ORD008799,PROD5578,Sunny,27,High,92.23,Recession
ORD008179,PROD9106,Cloudy,21,Severe,113.11,Stable
ORD012843,PROD7881,Cloudy,31,High,97.15,Recession
ORD007238,PROD3118,Sunny,27,Severe,117.56,Inflation
ORD008992,PROD5509,Rainy,21,Moderate,92.61,Recession
ORD011989,PROD9306,Rainy,14,Low,117.86,Stable
ORD002636,PROD4043,Cloudy,28,Severe,97.11,Inflation
ORD013155,PROD4909,Stormy,12,Severe,109.85,Inflation
ORD009297,PROD6426,Stormy,27,Severe,97.16,Stable
ORD007220,PROD5657,Sunny,21,Low,119.66,Stable
ORD014606,PROD7918,Stormy,20,Severe,115.95,Inflation
ORD009012,PROD3051,Rainy,32,Severe,104.47,Inflation
ORD004515,PROD4965,Cloudy,32,Moderate,117.1,Recession
ORD002268,PROD5836,Cloudy,39,Low,93.08,Inflation
ORD008696,PROD7515,Rainy,18,Moderate,103.9,Recession
ORD000911,PROD1251,Cloudy,35,Low,111.6,Recession
ORD001769,PROD8202,Cloudy,28,Moderate,91.6,Stable
ORD012698,PROD2114,Sunny,11,Moderate,102.82,Stable
ORD007304,PROD5073,Rainy,38,Severe,99.28,Recession
ORD007534,PROD1487,Stormy,37,Low,104.38,Inflation
ORD013596,PROD3338,Cloudy,25,Moderate,111.84,Stable
ORD010198,PROD2992,Rainy,19,Severe,95.42,Recession
ORD000141,PROD6947,Stormy,37,Severe,108.25,Recession
ORD002635,PROD7931,Rainy,20,Severe,106.2,Recession
ORD006278,PROD7274,Cloudy,31,High,111.18,Recession
ORD009674,PROD5028,Cloudy,26,Low,106.61,Inflation
ORD010647,PROD4585,Sunny,17,Moderate,116.78,Inflation
ORD014815,PROD3087,Sunny,16,High,101.03,Stable
ORD002489,PROD6339,Stormy,33,Low,105.88,Inflation
ORD009731,PROD7823,Stormy,27,Moderate,116.39,Recession
ORD005036,PROD2562,Cloudy,34,Moderate,112.59,Recession
ORD011603,PROD8409,Rainy,13,Severe,98.6,Stable
ORD011440,PROD3918,Sunny,32,Low,111.43,Inflation
ORD005916,PROD2965,Cloudy,22,Low,90.5,Inflation
ORD003308,PROD9043,Sunny,25,Low,110.76,Stable
ORD002871,PROD1273,Sunny,18,Severe,109.74,Stable
ORD008375,PROD6681,Sunny,38,Severe,99.01,Recession
ORD005644,PROD3087,Sunny,11,High,117.7,Stable
ORD003153,PROD6224,Sunny,28,Low,97.81,Stable
ORD009865,PROD2428,Rainy,18,High,115.39,Recession
ORD003261,PROD7783,Sunny,24,High,96.11,Recession
ORD010953,PROD1579,Stormy,15,Low,119.21,Inflation
ORD014533,PROD4954,Stormy,11,High,118.9,Inflation
ORD002117,PROD7698,Stormy,39,High,117.38,Inflation
ORD010223,PROD8652,Rainy,37,Low,116.23,Stable
ORD002650,PROD8939,Sunny,21,High,119.44,Stable
ORD010222,PROD5822,Sunny,15,Moderate,119.1,Inflation
ORD001654,PROD3255,Sunny,13,Severe,99.07,Inflation
ORD000686,PROD5530,Cloudy,36,Low,112.47,Recession
ORD007919,PROD3875,Rainy,36,Low,97.35,Stable
ORD003363,PROD5896,Rainy,23,Low,112.3,Inflation
ORD011676,PROD8134,Stormy,32,Low,101.54,Recession
ORD002164,PROD1724,Sunny,33,High,102.4,Inflation
ORD010851,PROD2054,Sunny,31,Moderate,107.01,Stable
ORD006824,PROD3781,Stormy,39,Moderate,115.11,Inflation
ORD007698,PROD8883,Sunny,35,High,101.57,Recession
ORD005594,PROD8268,Rainy,17,High,92.33,Recession
ORD001072,PROD5583,Stormy,19,High,117.4,Recession
ORD003203,PROD3420,Sunny,19,High,94.35,Stable
ORD000692,PROD4727,Rainy,34,Low,100.38,Inflation
ORD008593,PROD3057,Stormy,38,Low,113.27,Stable
ORD002386,PROD8161,Sunny,28,High,96.21,Recession
ORD009946,PROD3384,Sunny,32,Low,115.59,Stable
ORD001843,PROD2946,Stormy,15,Severe,112.26,Inflation
ORD000331,PROD1158,Rainy,15,Moderate,96.37,Recession
ORD012621,PROD7075,Stormy,32,Moderate,118.86,Inflation
ORD003497,PROD1328,Stormy,24,Low,104.96,Stable
ORD001943,PROD6654,Sunny,39,High,114.35,Stable
ORD001064,PROD7078,Rainy,17,Moderate,91.85,Inflation
ORD001564,PROD1726,Rainy,13,Moderate,104.36,Inflation
ORD011077,PROD1727,Cloudy,25,Moderate,102.21,Recession
ORD004816,PROD8257,Cloudy,13,High,92.01,Recession
ORD013582,PROD8683,Rainy,29,Low,94.71,Inflation
ORD014552,PROD7359,Stormy,22,Low,96.63,Recession
ORD005540,PROD6363,Stormy,34,Low,92.43,Recession
ORD000408,PROD6967,Cloudy,29,Severe,100.69,Recession
ORD009427,PROD6618,Stormy,38,High,108.9,Stable
ORD004396,PROD4764,Cloudy,32,Severe,106.91,Recession
ORD006159,PROD6340,Cloudy,16,High,117.43,Stable
ORD012411,PROD5333,Rainy,24,Moderate,108.5,Recession
ORD004098,PROD7473,Cloudy,30,Severe,108.32,Inflation
ORD005940,PROD5230,Stormy,36,Moderate,108.46,Stable
ORD013148,PROD9502,Rainy,31,Low,106.28,Inflation
ORD008787,PROD7200,Cloudy,17,Low,95.87,Inflation
ORD004292,PROD3406,Cloudy,26,Low,109.94,Inflation
ORD006882,PROD7788,Cloudy,17,High,111.61,Inflation
ORD001797,PROD5067,Rainy,32,Low,116.53,Stable
ORD003877,PROD3018,Cloudy,34,Low,98.46,Inflation
ORD004249,PROD9465,Sunny,38,Low,103.44,Stable
ORD001778,PROD6658,Rainy,13,Severe,101.27,Recession
ORD001052,PROD3290,Stormy,15,Low,96.31,Stable
ORD003328,PROD8715,Sunny,12,Low,107.96,Inflation
ORD007677,PROD7135,Stormy,12,Low,119.42,Inflation
ORD000133,PROD3646,Rainy,25,Low,99.59,Inflation
ORD002693,PROD2425,Stormy,32,Moderate,90.23,Stable
ORD013021,PROD4192,Rainy,22,Moderate,111.31,Recession
ORD012912,PROD7879,Rainy,31,Moderate,100.07,Stable
ORD002037,PROD8319,Cloudy,38,High,119.62,Inflation
ORD013506,PROD1732,Cloudy,15,High,102.5,Stable
ORD005580,PROD2677,Rainy,38,Low,119.66,Stable
ORD011686,PROD4349,Sunny,14,High,110.11,Stable
ORD003162,PROD3615,Sunny,34,High,119.81,Recession
ORD013219,PROD6288,Stormy,10,Severe,114.38,Stable
ORD002859,PROD9655,Cloudy,16,Moderate,114.85,Inflation
ORD005765,PROD4878,Cloudy,27,Low,114.5,Stable
ORD006401,PROD2990,Sunny,33,Low,96.26,Stable
ORD006090,PROD1256,Cloudy,38,Moderate,119.88,Inflation
ORD010261,PROD1490,Stormy,38,Moderate,116.53,Stable
ORD004539,PROD7518,Stormy,31,Low,106.6,Stable
ORD012281,PROD4845,Stormy,24,Low,94.68,Stable
ORD005641,PROD3798,Sunny,31,Low,112.77,Recession
ORD009243,PROD6828,Cloudy,24,Severe,104.56,Inflation
ORD001054,PROD1609,Cloudy,38,Moderate,117.53,Stable
ORD010635,PROD3256,Rainy,18,High,91.55,Stable
ORD010423,PROD7317,Stormy,15,Moderate,91.74,Stable
ORD011920,PROD9026,Cloudy,27,Low,106.78,Stable
ORD004413,PROD2049,Stormy,24,High,95.51,Stable
ORD012923,PROD8802,Cloudy,13,Severe,115.27,Recession
ORD006076,PROD2978,Rainy,31,Moderate,114.55,Recession
ORD006725,PROD8938,Rainy,31,Moderate,95.76,Recession
ORD011630,PROD7747,Rainy,26,Severe,92.1,Stable
ORD005123,PROD5713,Cloudy,18,Low,119.58,Inflation
ORD007215,PROD5033,Stormy,32,Moderate,106.05,Recession
ORD001254,PROD6655,Stormy,11,Low,101.93,Stable
ORD011399,PROD4644,Stormy,32,High,109.02,Recession
ORD002522,PROD6890,Stormy,35,High,118.78,Recession
ORD003336,PROD7249,Cloudy,38,Moderate,115.6,Inflation
ORD004463,PROD3867,Sunny,24,Low,119.5,Inflation
ORD006384,PROD6187,Cloudy,10,Low,111.28,Recession
ORD003274,PROD5831,Sunny,26,Severe,113.59,Stable
ORD007740,PROD5504,Rainy,35,High,115.78,Stable
ORD010842,PROD9182,Sunny,20,Moderate,113.38,Recession
ORD010462,PROD8230,Stormy,19,High,97.46,Recession
ORD008640,PROD8431,Sunny,16,Moderate,111.17,Stable
ORD004880,PROD8168,Stormy,35,Low,100.94,Recession
ORD010731,PROD3535,Stormy,13,High,96.66,Recession
ORD001365,PROD4084,Sunny,13,High,95.04,Recession
ORD010729,PROD3234,Rainy,34,Severe,112.37,Recession
ORD004634,PROD8322,Sunny,36,Severe,108.47,Inflation
ORD012189,PROD2290,Stormy,13,Low,90.88,Recession
ORD012158,PROD5877,Sunny,38,High,108.66,Inflation
ORD007722,PROD2450,Stormy,39,High,109.29,Inflation
ORD001853,PROD7576,Sunny,16,Severe,114.37,Inflation
ORD009681,PROD9724,Stormy,26,Severe,117.32,Stable
ORD013904,PROD2998,Stormy,33,Low,117.44,Stable
ORD005396,PROD6424,Cloudy,39,Low,110.08,Recession
ORD012507,PROD5062,Stormy,22,Low,114.43,Inflation
ORD010698,PROD9391,Cloudy,21,Moderate,104.69,Inflation
ORD005155,PROD2091,Cloudy,12,Severe,93.84,Recession
ORD003543,PROD5250,Sunny,36,Severe,98.16,Inflation
ORD012508,PROD5009,Sunny,28,Severe,119.77,Stable
ORD000899,PROD7325,Sunny,21,High,111.93,Stable
ORD006909,PROD6220,Rainy,37,Severe,91.86,Inflation
ORD011900,PROD3174,Cloudy,23,High,111.36,Inflation
ORD006637,PROD3630,Rainy,13,Moderate,99.71,Inflation
ORD011473,PROD2860,Cloudy,16,Moderate,106.43,Stable
ORD005617,PROD8672,Sunny,33,Severe,92.57,Stable
ORD009796,PROD4471,Rainy,13,Moderate,101.78,Stable
ORD003937,PROD5374,Sunny,30,High,93.49,Stable
ORD010521,PROD3323,Sunny,37,Low,109.82,Stable
ORD007809,PROD5409,Stormy,21,Moderate,94.65,Inflation
ORD009899,PROD2367,Sunny,17,High,99.4,Inflation
ORD014972,PROD4201,Cloudy,34,Low,113.11,Recession
ORD003873,PROD6536,Cloudy,26,High,116.09,Inflation
ORD001707,PROD8842,Cloudy,14,Severe,106.59,Stable
ORD009489,PROD5781,Rainy,14,Low,111.72,Stable
ORD011265,PROD6596,Stormy,35,Moderate,108.12,Recession
ORD012917,PROD7800,Rainy,26,Severe,101.01,Recession
ORD009165,PROD6799,Cloudy,28,Moderate,98.56,Stable
ORD006005,PROD5896,Sunny,39,High,109.19,Inflation
ORD006474,PROD3353,Rainy,35,Severe,103.97,Inflation
ORD002143,PROD9715,Rainy,36,High,91.76,Inflation
ORD011472,PROD6224,Sunny,18,Severe,95.87,Recession
ORD005858,PROD8802,Rainy,32,Severe,101.54,Inflation
ORD014996,PROD7452,Stormy,39,Severe,106.86,Recession
ORD012067,PROD3262,Sunny,12,Moderate,108.94,Recession
ORD000170,PROD2049,Cloudy,30,Severe,118.74,Stable
ORD007511,PROD5019,Stormy,27,High,102.28,Stable
ORD013719,PROD6028,Rainy,18,Low,104.81,Inflation
ORD006112,PROD2442,Sunny,16,Moderate,99.8,Inflation
ORD002340,PROD2320,Sunny,23,Low,109.07,Inflation
ORD012976,PROD4076,Stormy,19,Moderate,99.66,Inflation
ORD005340,PROD8362,Cloudy,38,Moderate,106.61,Stable
ORD010989,PROD2933,Rainy,22,Moderate,105.87,Inflation
ORD008190,PROD4581,Cloudy,21,Severe,92.0,Inflation
ORD009539,PROD3973,Sunny,14,High,119.63,Recession
ORD011939,PROD2486,Rainy,35,Moderate,119.56,Stable
ORD014190,PROD2675,Rainy,19,Low,110.6,Recession
ORD005840,PROD2382,Rainy,11,High,99.29,Recession
ORD005982,PROD4700,Cloudy,19,Severe,107.23,Inflation
ORD011082,PROD8062,Sunny,32,High,92.17,Recession
ORD005197,PROD4695,Sunny,14,High,105.1,Inflation
ORD003633,PROD6113,Stormy,21,Moderate,98.84,Inflation
ORD000323,PROD1722,Cloudy,30,Severe,114.32,Inflation
ORD003894,PROD6273,Sunny,17,Severe,96.79,Stable
ORD003967,PROD9955,Cloudy,21,Moderate,108.46,Inflation
ORD004721,PROD5256,Stormy,35,Moderate,94.25,Inflation
ORD012610,PROD3587,Sunny,17,High,96.07,Inflation
ORD013977,PROD6227,Stormy,24,Severe,102.11,Recession
ORD014149,PROD7259,Cloudy,21,Moderate,116.84,Inflation
ORD011235,PROD5801,Stormy,32,Moderate,93.63,Stable
ORD003880,PROD9260,Stormy,31,Severe,111.73,Stable
ORD003589,PROD3470,Stormy,10,Low,92.55,Recession
ORD014744,PROD6488,Cloudy,25,Severe,114.06,Stable
ORD013386,PROD1969,Stormy,15,Low,118.78,Recession
ORD008882,PROD1027,Cloudy,39,Moderate,92.24,Inflation
ORD009384,PROD6240,Cloudy,17,High,103.48,Stable
ORD006673,PROD3226,Sunny,19,High,109.14,Recession
ORD008174,PROD3932,Rainy,19,High,108.49,Inflation
ORD004633,PROD8987,Sunny,15,Severe,91.39,Stable
ORD010800,PROD8666,Sunny,13,High,100.22,Recession
ORD003173,PROD3885,Sunny,35,High,93.54,Recession
ORD013620,PROD4014,Rainy,18,Severe,99.35,Stable
ORD000439,PROD9375,Rainy,20,Low,94.11,Stable
ORD009982,PROD4253,Stormy,35,Moderate,114.46,Stable
ORD001973,PROD1084,Cloudy,37,High,93.21,Inflation
ORD001827,PROD3194,Rainy,32,Severe,91.62,Recession
ORD013434,PROD7370,Cloudy,39,High,113.96,Recession
ORD006997,PROD5144,Cloudy,30,Low,114.51,Stable
ORD005549,PROD9558,Cloudy,32,Low,116.76,Stable
ORD002048,PROD6026,Sunny,18,Low,102.66,Recession
ORD002984,PROD1130,Stormy,25,Moderate,118.54,Inflation
ORD003759,PROD7319,Sunny,13,Low,94.99,Recession
ORD010105,PROD7412,Stormy,38,Severe,96.97,Recession
ORD005264,PROD4166,Sunny,12,Moderate,94.33,Stable
ORD008161,PROD9011,Sunny,26,Low,118.2,Recession
ORD013816,PROD3210,Sunny,25,Severe,110.94,Stable
ORD014547,PROD2132,Cloudy,15,Low,104.27,Inflation
ORD008642,PROD7146,Sunny,19,High,99.8,Stable
ORD004454,PROD6703,Stormy,30,Severe,95.94,Recession
ORD010982,PROD7180,Sunny,32,Severe,107.57,Recession
ORD013057,PROD3230,Sunny,11,Low,113.9,Recession
ORD004669,PROD7505,Sunny,31,Severe,117.59,Stable
ORD004408,PROD2492,Stormy,25,Low,113.99,Stable
ORD001109,PROD5106,Cloudy,13,Moderate,106.18,Stable
ORD013560,PROD2089,Rainy,24,Low,99.57,Stable
ORD005059,PROD4617,Sunny,30,Severe,97.24,Inflation
ORD000671,PROD6764,Sunny,20,High,92.14,Inflation
ORD002692,PROD6711,Rainy,27,Moderate,111.83,Inflation
ORD010484,PROD2887,Stormy,38,Moderate,100.95,Recession
ORD003679,PROD3024,Cloudy,33,High,114.61,Recession
ORD000915,PROD2225,Cloudy,39,Severe,118.21,Stable
ORD005044,PROD8115,Sunny,38,Low,117.2,Stable
ORD005623,PROD4796,Rainy,10,Moderate,110.46,Recession
ORD006412,PROD6427,Rainy,15,Low,112.26,Inflation
ORD003596,PROD6183,Stormy,38,High,105.85,Stable
ORD010204,PROD9384,Cloudy,15,High,96.67,Recession
ORD012695,PROD5774,Rainy,15,Severe,104.84,Inflation
ORD000198,PROD6804,Rainy,21,Moderate,117.48,Stable
ORD001332,PROD3504,Cloudy,16,High,102.06,Stable
ORD012032,PROD6647,Cloudy,20,Moderate,113.89,Stable
ORD004340,PROD8069,Sunny,31,Low,104.24,Inflation
ORD007410,PROD1994,Rainy,29,Severe,119.16,Stable
ORD012353,PROD4273,Cloudy,21,High,100.47,Stable
ORD013347,PROD5076,Rainy,26,High,115.15,Inflation
ORD013015,PROD8146,Cloudy,24,High,94.76,Inflation
ORD014797,PROD2770,Sunny,31,Low,111.11,Recession
ORD012875,PROD3580,Sunny,18,Severe,97.5,Inflation
ORD010186,PROD1166,Stormy,32,Moderate,107.67,Inflation
ORD001192,PROD7730,Stormy,26,Moderate,103.6,Stable
ORD004968,PROD5075,Sunny,10,Moderate,90.98,Recession
ORD010887,PROD9955,Stormy,24,Low,93.4,Inflation
ORD006660,PROD6813,Rainy,35,Low,119.27,Recession
ORD009525,PROD4614,Rainy,16,High,115.16,Recession
ORD011751,PROD2496,Rainy,36,Severe,117.85,Stable
ORD003791,PROD2560,Sunny,12,Severe,107.4,Inflation
ORD002986,PROD4287,Cloudy,35,Severe,92.76,Stable
